,Unnamed: 0,Match ID,Competition,Match,Date,Nationality,Team Country Code,Season,Status,Name,Market Value,Lookup Still Required?,Lookup Return Case,Impute Required?,Name(s) Found,ORIGINAL JERSEY,Match Case,Status New,Market Value New
172,172,3766,"Gold Cup, 2021",Canada vs Martinique,12-07-2021,Martinique,MQ,2021,FAIL - NO DATA,0,0.0,True,Online Lookup Required,False,0,E Rivière,none,Done,0
173,173,3772,"Gold Cup, 2021",Martinique vs Haiti,18-07-2021,Martinique,MQ,2021,FAIL - NO DATA,0,0.0,True,Online Lookup Required,False,0,E Rivière,none,Done,0
174,174,3776,"Gold Cup, 2021",Costa Rica vs Guadeloupe,13-07-2021,Guadeloupe,GP,2021,FAIL - NO DATA,0,0.0,True,Online Lookup Required,False,0,M Alphonse,none,Done,0
175,175,3785,"Gold Cup, 2023",Cuba vs Guadeloupe,02-07-2023,Guadeloupe,GP,2023,FAIL - NO DATA,0,0.0,True,Online Lookup Required,False,0,D Rouyard,none,Done,0
176,176,3785,"Gold Cup, 2023",Cuba vs Guadeloupe,02-07-2023,Guadeloupe,GP,2023,FAIL - NO DATA,0,0.0,True,Online Lookup Required,False,0,M Alphonse,none,Done,0
177,177,3785,"Gold Cup, 2023",Cuba vs Guadeloupe,02-07-2023,Guadeloupe,GP,2023,FAIL - NO DATA,0,0.0,True,Online Lookup Required,False,0,C Avinel,none,Done,0
178,178,3785,"Gold Cup, 2023",Cuba vs Guadeloupe,02-07-2023,Guadeloupe,GP,2023,FAIL - NO DATA,0,0.0,True,Online Lookup Required,False,0,A Gravillon,none,Done,0
179,179,3785,"Gold Cup, 2023",Cuba vs Guadeloupe,02-07-2023,Guadeloupe,GP,2023,FAIL - NO DATA,0,0.0,True,Online Lookup Required,False,0,J Tell,none,Done,0
180,180,3785,"Gold Cup, 2023",Cuba vs Guadeloupe,02-07-2023,Guadeloupe,GP,2023,FAIL - NO DATA,0,0.0,True,Online Lookup Required,False,0,J Leborgne,none,Done,0
181,181,3785,"Gold Cup, 2023",Cuba vs Guadeloupe,02-07-2023,Guadeloupe,GP,2023,FAIL - NO DATA,0,0.0,True,Online Lookup Required,False,0,T Ambrose,none,Done,0
182,182,3791,"Gold Cup, 2023",Canada vs Guadeloupe,28-06-2023,Guadeloupe,GP,2023,FAIL - NO DATA,0,0.0,True,Online Lookup Required,False,0,D Rouyard,none,Done,0
183,183,3791,"Gold Cup, 2023",Canada vs Guadeloupe,28-06-2023,Guadeloupe,GP,2023,FAIL - NO DATA,0,0.0,True,Online Lookup Required,False,0,M Alphonse,none,Done,0
184,184,3791,"Gold Cup, 2023",Canada vs Guadeloupe,28-06-2023,Guadeloupe,GP,2023,FAIL - NO DATA,0,0.0,True,Online Lookup Required,False,0,C Avinel,none,Done,0
185,185,3791,"Gold Cup, 2023",Canada vs Guadeloupe,28-06-2023,Guadeloupe,GP,2023,FAIL - NO DATA,0,0.0,True,Online Lookup Required,False,0,A Gravillon,none,Done,0
186,186,3791,"Gold Cup, 2023",Canada vs Guadeloupe,28-06-2023,Guadeloupe,GP,2023,FAIL - NO DATA,0,0.0,True,Online Lookup Required,False,0,J Tell,none,Done,0
187,187,3791,"Gold Cup, 2023",Canada vs Guadeloupe,28-06-2023,Guadeloupe,GP,2023,FAIL - NO DATA,0,0.0,True,Online Lookup Required,False,0,J Leborgne,none,Done,0
188,188,3791,"Gold Cup, 2023",Canada vs Guadeloupe,28-06-2023,Guadeloupe,GP,2023,FAIL - NO DATA,0,0.0,True,Online Lookup Required,False,0,T Ambrose,none,Done,0
189,189,53,U-20 World Cup 2019,Italy U-20 vs Ecuador U-20,14.06.19,Italy U-20,IT,2019,SUCCESS,Christian Capone,1560000.0,True,Only Before,False,Christian Capone,C Capone,U-20,Done,1560000
190,190,2137,"World Cup Qualifiers, Africa, 2022",Namibia vs Togo,15-11-2021,Namibia,NB,2021,SUCCESS,Charles Hambira,40000.0,True,Used Season Before * .8 But Had Both,False,Charles Hambira,C Hambira,none,Done,40000
191,191,2137,"World Cup Qualifiers, Africa, 2022",Namibia vs Togo,15-11-2021,Namibia,NB,2021,SUCCESS,Benson Shilongo,200000.0,True,Found in Curr Season,False,Benson Shilongo,L Haukongo,none,Done,200000
