,Unnamed: 0,Match ID,Competition,Match,Date,Nationality,Team Country Code,Season,Status,Name,Market Value,Lookup Still Required?,Lookup Return Case,Impute Required?,Name(s) Found,ORIGINAL JERSEY,Match Case
37495,95,4101,"World Cup 2022, Qualifiers, CONCACAF",Belize vs Turks and Caicos Iss,30-Mar-21,Belize,BZ,2021,FAIL,"['Frank Lopez', 'Krisean Lopez', 'Aaron Lopez']",0,True,Online Lookup Required,False,"['Frank Lopez', 'Krisean Lopez', 'Aaron Lopez']",Lopez,multiple
37541,141,4103,"World Cup 2022, Qualifiers, CONCACAF",Bermuda vs Aruba,30-Mar-21,Bermuda,BM,2021,FAIL,"['Antwan Russell', 'Tokia Russell']",0,True,Online Lookup Required,False,"['Antwan Russell', 'Tokia Russell']",Russell,multiple
37652,252,4108,"World Cup 2022, Qualifiers, CONCACAF",Dominica vs Anguilla,02-Jun-21,Dominica,DM,2021,FAIL,"['Eric Wade', 'Julian Wade']",0,True,Online Lookup Required,False,"['Eric Wade', 'Julian Wade']",Wade,multiple
37796,396,4115,"World Cup 2022, Qualifiers, CONCACAF",Saint Kitts and Nevis vs Guyana,04-Jun-21,Saint Kitts and Nevis,KN,2021,FAIL,"['Julani Archibald', 'Steve Archibald']",0,True,Online Lookup Required,False,"['Julani Archibald', 'Steve Archibald']",Archibald,multiple
37804,404,4115,"World Cup 2022, Qualifiers, CONCACAF",Saint Kitts and Nevis vs Guyana,04-Jun-21,Saint Kitts and Nevis,KN,2021,FAIL,"['Raheem Somersall', 'Travis Somersall']",0,True,Online Lookup Required,False,"['Raheem Somersall', 'Travis Somersall']",Somersall,multiple
37840,440,4117,"World Cup 2022, Qualifiers, CONCACAF",Dominican Republic vs Barbados,04-Jun-21,Dominican Republic,DO,2021,FAIL,"['Luis Ismael Diaz', 'Rafael Diaz']",0,True,Online Lookup Required,False,"['Luis Ismael Diaz', 'Rafael Diaz']",Diaz,multiple
37883,483,4118,"World Cup 2022, Qualifiers, CONCACAF",Nicaragua vs Belize,04-Jun-21,Belize,BZ,2021,FAIL,"['Frank Lopez', 'Krisean Lopez', 'Aaron Lopez']",0,True,Online Lookup Required,False,"['Frank Lopez', 'Krisean Lopez', 'Aaron Lopez']",Lopez,multiple
37942,542,4121,"World Cup 2022, Qualifiers, CONCACAF",US Virgin Islands vs El Salvador,05-Jun-21,El Salvador,SV,2021,FAIL,"['Giovanni Zavaleta', 'Eriq Zavaleta']",0,True,Online Lookup Required,False,"['Giovanni Zavaleta', 'Eriq Zavaleta']",Zavaleta,multiple
38125,725,4129,"World Cup 2022, Qualifiers, CONCACAF",Trinidad and Tobago vs Saint Kitts and Nevis,08-Jun-21,Saint Kitts and Nevis,KN,2021,FAIL,"['Patrece Liburd', 'Malik Liburd', 'Kendale Liburd', 'Rowan Liburd']",0,True,Online Lookup Required,False,"['Patrece Liburd', 'Malik Liburd', 'Kendale Liburd', 'Rowan Liburd']",Liburd,multiple
38269,869,4136,"World Cup 2022, Qualifiers, CONCACAF",Panama vs Dominican Republic,08-Jun-21,Dominican Republic,DO,2021,FAIL,"['Luis Ismael Diaz', 'Rafael Diaz']",0,True,Online Lookup Required,False,"['Luis Ismael Diaz', 'Rafael Diaz']",Diaz,multiple
38453,1053,4145,"World Cup 2022, Qualifiers, CONCACAF",Panama vs Costa Rica,02-Sep-21,Costa Rica,CR,2021,FAIL,"['Pedro Leal', 'Randall Leal']",0,True,Online Lookup Required,False,"['Pedro Leal', 'Randall Leal']",Leal,multiple
38534,34,4402,"World Cup 2022, Qualifiers, CONMEBOL",Peru vs Venezuela,05-Sep-21,Venezuela,VE,2021,FAIL,"['Dani Hernández', 'José Hernández', 'Ronald Hernández']",0,True,Online Lookup Required,False,"['Dani Hernández', 'José Hernández', 'Ronald Hernández']",Hernández,multiple
38537,37,4402,"World Cup 2022, Qualifiers, CONMEBOL",Peru vs Venezuela,05-Sep-21,Venezuela,VE,2021,FAIL,"['Javier González', 'Alexander González', 'César González', 'Óscar González', 'Luis González']",0,True,Online Lookup Required,False,"['Javier González', 'Alexander González', 'César González', 'Óscar González', 'Luis González']",González,multiple
38585,85,4404,"World Cup 2022, Qualifiers, CONMEBOL",Paraguay vs Venezuela,09-Sep-21,Venezuela,VE,2021,FAIL,"['Rómulo Otero', 'Javier Otero']",0,True,Online Lookup Required,False,"['Rómulo Otero', 'Javier Otero']",Otero,multiple
38664,164,4408,"World Cup 2022, Qualifiers, CONMEBOL",Venezuela vs Brazil,07-Oct-21,Venezuela,VE,2021,FAIL,"['Pedro Ramírez', 'Eric Ramírez']",0,True,Online Lookup Required,False,"['Pedro Ramírez', 'Eric Ramírez']",Ramírez,multiple
38695,195,4409,"World Cup 2022, Qualifiers, CONMEBOL",Ecuador vs Bolivia,07-Oct-21,Bolivia,BO,2021,FAIL,"['Harry Céspedes', 'Boris Céspedes']",0,True,Online Lookup Required,False,"['Harry Céspedes', 'Boris Céspedes']",Cespedes,multiple
38869,369,4417,"World Cup 2022, Qualifiers, CONMEBOL",Chile vs Paraguay,10-Oct-21,Paraguay,PY,2021,FAIL,"['Luis Cardozo', 'Óscar Cardozo']",0,True,Online Lookup Required,False,"['Luis Cardozo', 'Óscar Cardozo']",Cardozo,multiple
38969,469,4422,"World Cup 2022, Qualifiers, CONMEBOL",Chile vs Venezuela,14-Oct-21,Chile,CL,2021,FAIL,"['Jaime Valdés', 'Diego Valdés']",0,True,Online Lookup Required,False,"['Jaime Valdés', 'Diego Valdés']",Valdés,multiple
39024,524,4424,"World Cup 2022, Qualifiers, CONMEBOL",Paraguay vs Chile,11-Nov-21,Chile,CL,2021,FAIL,"['Jaime Valdés', 'Diego Valdés']",0,True,Online Lookup Required,False,"['Jaime Valdés', 'Diego Valdés']",Valdés,multiple
39133,633,4429,"World Cup 2022, Qualifiers, CONMEBOL",Colombia vs Paraguay,16-Nov-21,Paraguay,PY,2021,FAIL,"['Jorge Rojas', 'Robert Rojas', 'Rodrigo Rojas', 'Santiago Rojas', 'Matías Rojas']",0,True,Online Lookup Required,False,"['Jorge Rojas', 'Robert Rojas', 'Rodrigo Rojas', 'Santiago Rojas', 'Matías Rojas']",Rojas,multiple
39189,689,4432,"World Cup 2022, Qualifiers, CONMEBOL",Chile vs Ecuador,16-Nov-21,Chile,CL,2021,FAIL,"['Jaime Valdés', 'Diego Valdés']",0,True,Online Lookup Required,False,"['Jaime Valdés', 'Diego Valdés']",Valdés,multiple
39255,755,4435,"World Cup 2022, Qualifiers, CONMEBOL",Chile vs Argentina,27-Jan-22,Chile,CL,2022,FAIL,"['Eduardo Vargas', 'Miguel Vargas', 'Jeisson Vargas']",0,True,Online Lookup Required,False,"['Eduardo Vargas', 'Miguel Vargas', 'Jeisson Vargas']",Vargas,multiple
39422,922,4442,"World Cup 2022, Qualifiers, CONMEBOL",Brazil vs Paraguay,1-Feb-22,Paraguay,PY,2022,FAIL,"['Miguel Samudio', 'Braian Samudio']",0,True,Online Lookup Required,False,"['Miguel Samudio', 'Braian Samudio']",Samudio,multiple
39489,989,4445,"World Cup 2022, Qualifiers, CONMEBOL",Brazil vs Chile,24-Mar-22,Chile,CL,2022,FAIL,"['Eduardo Vargas', 'Miguel Vargas', 'Jeisson Vargas']",0,True,Online Lookup Required,False,"['Eduardo Vargas', 'Miguel Vargas', 'Jeisson Vargas']",Vargas,multiple
39510,1010,4446,"World Cup 2022, Qualifiers, CONMEBOL",Paraguay vs Ecuador,24-Mar-22,Ecuador,EC,2022,FAIL,"['Joao Rojas', 'Juan Rojas']",0,True,Online Lookup Required,False,"['Joao Rojas', 'Juan Rojas']",Rojas,multiple
39817,217,1828,Nations League 2022-2023,Kazakhstan vs Azerbaijan,03.06.22,Azerbaijan,AZ,2022,FAIL,"['Arif Isayev', 'Ali Babayev']",0,True,Online Lookup Required,False,"['Arif Isayev', 'Ali Babayev']",A Iasyev,multiple
41005,305,2592,"World Cup Qualifiers, Asia, 2022",Bangladesh vs India,07-06-2021,India,IN,2021,FAIL,"['Balwant Singh', 'Bipin Singh']",0,True,Online Lookup Required,False,"['Balwant Singh', 'Bipin Singh']",B Singh,multiple
41127,427,2598,"World Cup Qualifiers, Asia, 2022",Oman vs Japan,16-11-2021,Oman,OM,2021,FAIL,"['Essam Al-Subhi', 'Ibrahim Al-Rajhi']",0,True,Online Lookup Required,False,"['Essam Al-Subhi', 'Ibrahim Al-Rajhi']",Issam Al Sabhi,multiple
43087,187,1930,"World Cup Qualifiers, Africa, 2018",Niger vs Somalia,13-10-2015,Somalia,SO,2015,FAIL,"['Mustaf Khalib Hussein', 'Mohamed Muhamud Hussein']",0,True,Online Lookup Required,False,"['Mustaf Khalib Hussein', 'Mohamed Muhamud Hussein']",M Hussein,multiple
43089,189,1930,"World Cup Qualifiers, Africa, 2018",Niger vs Somalia,13-10-2015,Somalia,SO,2015,FAIL,"['Abdinasir Yusuf Ahmed', 'Ahmed Said Ahmed', 'Ayub Ahmed']",0,True,Online Lookup Required,False,"['Abdinasir Yusuf Ahmed', 'Ahmed Said Ahmed', 'Ayub Ahmed']",A Ahmed,multiple
43093,193,1930,"World Cup Qualifiers, Africa, 2018",Niger vs Somalia,13-10-2015,Somalia,SO,2015,FAIL,"['Abas Amin Mohamed', 'Abdi Mohamed', 'Abdiwali Abdirahman Mohamed']",0,True,Online Lookup Required,False,"['Abas Amin Mohamed', 'Abdi Mohamed', 'Abdiwali Abdirahman Mohamed']",A Mohamed,multiple
43213,313,1936,"World Cup Qualifiers, Africa, 2018",Eswatini vs Djibouti,17-10-2015,Eswatini,SZ,2015,FAIL,"['Xolani Sikhondze', 'Banele Sikhondze']",0,True,Online Lookup Required,False,"['Xolani Sikhondze', 'Banele Sikhondze']",C Skondze,multiple
43534,634,1950,"World Cup Qualifiers, Africa, 2018",Nigeria vs Eswatini,17-11-2015,Eswatini,SZ,2015,FAIL,"['Saneliso Dlamini', 'Sibonginkhosi Dlamini', 'Sibusiso Dlamini']",0,True,Online Lookup Required,False,"['Saneliso Dlamini', 'Sibonginkhosi Dlamini', 'Sibusiso Dlamini']",S Dlamini,multiple
43652,752,1956,"World Cup Qualifiers, Africa, 2018",Lesotho vs Comoros,13-10-2015,Lesotho,LS,2015,FAIL,"['Mohapi Ntobo', 'Moitheri Ntobo']",0,True,Online Lookup Required,False,"['Mohapi Ntobo', 'Moitheri Ntobo']",M Ntobo,multiple
43685,785,1957,"World Cup Qualifiers, Africa, 2018",South Africa vs Burkina Faso,07-10-2017,Burkina Faso,BF,2017,FAIL,"['Maxime Ouattara', 'Mohamed Ouattara', 'Mohamed Lamine Ouattara']",0,True,Online Lookup Required,False,"['Maxime Ouattara', 'Mohamed Ouattara', 'Mohamed Lamine Ouattara']",M Ouattara,multiple
45129,29,4351,"World Cup 2018, Qualifiers, CONMEBOL",Paraguay vs Uruguay,05-Sep-17,Paraguay,PY,2017,FAIL,"['Marcos Cáceres', 'Víctor Cáceres', 'Leonardo Cáceres', 'Blas Cáceres', 'Juan José Cáceres']",0,True,Online Lookup Required,False,"['Marcos Cáceres', 'Víctor Cáceres', 'Leonardo Cáceres', 'Blas Cáceres', 'Juan José Cáceres']",Cáceres,multiple
45170,70,4353,"World Cup 2018, Qualifiers, CONMEBOL",Bolivia vs Brazil,05-Oct-17,Bolivia,BO,2017,FAIL,"['Luis Gutiérrez', 'Helmut Gutiérrez', 'Limberg Gutiérrez', 'Jhohan Gutiérrez']",0,True,Online Lookup Required,False,"['Luis Gutiérrez', 'Helmut Gutiérrez', 'Limberg Gutiérrez', 'Jhohan Gutiérrez']",Gutiérrez,multiple
45174,74,4353,"World Cup 2018, Qualifiers, CONMEBOL",Bolivia vs Brazil,05-Oct-17,Bolivia,BO,2017,FAIL,"['Leonel Morales', 'Omar Morales']",0,True,Online Lookup Required,False,"['Leonel Morales', 'Omar Morales']",Morales,multiple
45194,94,4354,"World Cup 2018, Qualifiers, CONMEBOL",Venezuela vs Uruguay,05-Oct-17,Venezuela,VE,2017,FAIL,"['Júnior Moreno', 'Johan Moreno']",0,True,Online Lookup Required,False,"['Júnior Moreno', 'Johan Moreno']",J Moreno,multiple
45198,98,4354,"World Cup 2018, Qualifiers, CONMEBOL",Venezuela vs Uruguay,05-Oct-17,Venezuela,VE,2017,FAIL,"['José Martínez', 'Josef Martínez', 'David Martínez']",0,True,Online Lookup Required,False,"['José Martínez', 'Josef Martínez', 'David Martínez']",Martinez,multiple
45203,103,4354,"World Cup 2018, Qualifiers, CONMEBOL",Venezuela vs Uruguay,05-Oct-17,Uruguay,UY,2017,FAIL,"['Martín Cáceres', 'Sebastián Cáceres']",0,True,Online Lookup Required,False,"['Martín Cáceres', 'Sebastián Cáceres']",Cáceres,multiple
45227,127,4355,"World Cup 2018, Qualifiers, CONMEBOL",Colombia vs Paraguay,05-Oct-17,Paraguay,PY,2017,FAIL,"['Marcos Cáceres', 'Víctor Cáceres', 'Leonardo Cáceres', 'Blas Cáceres', 'Juan José Cáceres']",0,True,Online Lookup Required,False,"['Marcos Cáceres', 'Víctor Cáceres', 'Leonardo Cáceres', 'Blas Cáceres', 'Juan José Cáceres']",Cáceres,multiple
45235,135,4356,"World Cup 2018, Qualifiers, CONMEBOL",Chile vs Ecuador,05-Oct-17,Chile,CL,2017,FAIL,"['Gonzalo Jara', 'Ignacio Jara']",0,True,Online Lookup Required,False,"['Gonzalo Jara', 'Ignacio Jara']",Jara,multiple
45365,265,4362,"World Cup 2018, Qualifiers, CONMEBOL",Uruguay vs Bolivia,10-Oct-17,Uruguay,UY,2017,FAIL,"['Martín Cáceres', 'Sebastián Cáceres']",0,True,Online Lookup Required,False,"['Martín Cáceres', 'Sebastián Cáceres']",Cáceres,multiple
45824,724,4383,"World Cup 2022, Qualifiers, CONMEBOL",Paraguay vs Bolivia,17-Nov-20,Bolivia,BO,2020,FAIL,"['Gilbert Alvarez', 'William Alvarez', 'Eduardo Alvarez', 'Sebastian Alvarez']",0,True,Online Lookup Required,False,"['Gilbert Alvarez', 'William Alvarez', 'Eduardo Alvarez', 'Sebastian Alvarez']",Alvarez,multiple
45842,742,4384,"World Cup 2022, Qualifiers, CONMEBOL",Bolivia vs Venezuela,03-Jun-21,Venezuela,VE,2021,FAIL,"['Júnior Moreno', 'Johan Moreno']",0,True,Online Lookup Required,False,"['Júnior Moreno', 'Johan Moreno']",J Moreno,multiple
45846,746,4384,"World Cup 2022, Qualifiers, CONMEBOL",Bolivia vs Venezuela,03-Jun-21,Venezuela,VE,2021,FAIL,"['Rómulo Otero', 'Javier Otero']",0,True,Online Lookup Required,False,"['Rómulo Otero', 'Javier Otero']",Otero,multiple
45860,760,4385,"World Cup 2022, Qualifiers, CONMEBOL",Uruguay vs Paraguay,03-Jun-21,Paraguay,PY,2021,FAIL,"['Jorge Rojas', 'Robert Rojas', 'Rodrigo Rojas', 'Santiago Rojas', 'Matías Rojas']",0,True,Online Lookup Required,False,"['Jorge Rojas', 'Robert Rojas', 'Rodrigo Rojas', 'Santiago Rojas', 'Matías Rojas']",Rojas,multiple
45865,765,4385,"World Cup 2022, Qualifiers, CONMEBOL",Uruguay vs Paraguay,03-Jun-21,Paraguay,PY,2021,FAIL,"['Gastón Giménez', 'Néstor Giménez']",0,True,Online Lookup Required,False,"['Gastón Giménez', 'Néstor Giménez']",Giménez,multiple
46043,943,4393,"World Cup 2022, Qualifiers, CONMEBOL",Chile vs Bolivia,08-Jun-21,Bolivia,BO,2021,FAIL,"['Harry Céspedes', 'Boris Céspedes']",0,True,Online Lookup Required,False,"['Harry Céspedes', 'Boris Céspedes']",Cespedes,multiple
46080,980,4395,"World Cup 2022, Qualifiers, CONMEBOL",Ecuador vs Paraguay,02-Sep-21,Paraguay,PY,2021,FAIL,"['Juan Espínola', 'Alberto Espínola']",0,True,Online Lookup Required,False,"['Juan Espínola', 'Alberto Espínola']",Espínola,multiple
46113,1013,4397,"World Cup 2022, Qualifiers, CONMEBOL",Venezuela vs Argentina,02-Sep-21,Venezuela,VE,2021,FAIL,"['Luis González', 'Óscar González', 'César González']",0,True,Online Lookup Required,False,"['Luis González', 'Óscar González', 'César González']",Gonzalez,multiple
46121,1021,4397,"World Cup 2022, Qualifiers, CONMEBOL",Venezuela vs Argentina,02-Sep-21,Venezuela,VE,2021,FAIL,"['Pedro Ramírez', 'Eric Ramírez']",0,True,Online Lookup Required,False,"['Pedro Ramírez', 'Eric Ramírez']",Ramírez,multiple
47104,904,1912,"World Cup Qualifiers, Africa, 2014",Kenya vs Namibia,08-09-2013,Kenya,KE,2013,FAIL,"['Brian Onyango', 'Boniface Onyango']",0,True,Online Lookup Required,False,"['Brian Onyango', 'Boniface Onyango']",B Onyango,multiple
47132,932,1913,"World Cup Qualifiers, Africa, 2014",Sudan vs Lesotho,08-09-2013,Sudan,SD,2013,FAIL,"['Faris Abdalla', 'Ali Abdalla', 'Mohamed Abdalla']",0,True,Online Lookup Required,False,"['Faris Abdalla', 'Ali Abdalla', 'Mohamed Abdalla']",Ragei Abdalla,multiple
47138,938,1913,"World Cup Qualifiers, Africa, 2014",Sudan vs Lesotho,08-09-2013,Lesotho,LS,2013,FAIL,"['Mohapi Ntobo', 'Moitheri Ntobo']",0,True,Online Lookup Required,False,"['Mohapi Ntobo', 'Moitheri Ntobo']",M Ntobo,multiple
50695,95,1976,"World Cup Qualifiers, Africa, 2018",Sierra Leone vs Chad,13-10-2015,Sierra Leone,SL,2015,FAIL,"['Alhaji Kamara', 'Alpha Kamara', 'Alimamy Kamara']",0,True,Online Lookup Required,False,"['Alhaji Kamara', 'Alpha Kamara', 'Alimamy Kamara']",A Kamara,multiple
51808,108,2533,"World Cup Qualifiers, Asia, 2022",China PR vs Syria,15-06-2021,Syria,SY,2021,FAIL,"['Alaa Al-Dali', 'Ahmed Al-Dali']",0,True,Online Lookup Required,False,"['Alaa Al-Dali', 'Ahmed Al-Dali']",A Yasin Dali,multiple
56145,45,3946,"World Cup 2014, Qualifiers, CONCACAF",Mexico vs Costa Rica,11-Jun-13,Mexico,MX,2013,FAIL,"['Gerardo Flores', 'Marcelo Flores']",0.0,True,Online Lookup Required,False,"['Gerardo Flores', 'Marcelo Flores']",Flores,multiple
