"interval","sum_rank_prediction_correct","average_rank_prediction_correct","sample_size","seasons"
3,141,0.217257318952234,649,"2017_2018"
5,133,0.213141025641026,624,"2017_2018"
7,125,0.209731543624161,596,"2017_2018"
9,118,0.205933682373473,573,"2017_2018"
11,109,0.200367647058824,544,"2017_2018"
13,102,0.193548387096774,527,"2017_2018"
15,96,0.19009900990099,505,"2017_2018"
17,89,0.183505154639175,485,"2017_2018"
19,86,0.18494623655914,465,"2017_2018"
21,82,0.182628062360802,449,"2017_2018"
23,77,0.176201372997712,437,"2017_2018"
25,73,0.173809523809524,420,"2017_2018"
27,66,0.164588528678304,401,"2017_2018"
29,62,0.160206718346253,387,"2017_2018"
31,57,0.153225806451613,372,"2017_2018"
33,52,0.148571428571429,350,"2017_2018"
35,49,0.146706586826347,334,"2017_2018"
37,45,0.142405063291139,316,"2017_2018"
39,44,0.143790849673203,306,"2017_2018"
41,40,0.136986301369863,292,"2017_2018"
43,39,0.142335766423358,274,"2017_2018"
45,37,0.139097744360902,266,"2017_2018"
47,32,0.1285140562249,249,"2017_2018"
49,27,0.114893617021277,235,"2017_2018"
51,26,0.11353711790393,229,"2017_2018"
53,24,0.11214953271028,214,"2017_2018"
55,22,0.107843137254902,204,"2017_2018"
57,19,0.0994764397905759,191,"2017_2018"
59,19,0.101063829787234,188,"2017_2018"
61,17,0.0939226519337017,181,"2017_2018"
63,16,0.0914285714285714,175,"2017_2018"
65,15,0.0872093023255814,172,"2017_2018"
67,13,0.0787878787878788,165,"2017_2018"
69,12,0.0745341614906832,161,"2017_2018"
71,12,0.0779220779220779,154,"2017_2018"
73,9,0.0652173913043478,138,"2017_2018"
75,7,0.053030303030303,132,"2017_2018"
77,7,0.0564516129032258,124,"2017_2018"
79,6,0.0504201680672269,119,"2017_2018"
81,6,0.0512820512820513,117,"2017_2018"
83,6,0.0535714285714286,112,"2017_2018"
85,6,0.0571428571428571,105,"2017_2018"
87,5,0.0543478260869565,92,"2017_2018"
89,5,0.0561797752808989,89,"2017_2018"
91,4,0.0476190476190476,84,"2017_2018"
93,4,0.0493827160493827,81,"2017_2018"
95,4,0.0526315789473684,76,"2017_2018"
97,3,0.04,75,"2017_2018"
99,2,0.0277777777777778,72,"2017_2018"
101,1,0.0151515151515152,66,"2017_2018"
103,1,0.015625,64,"2017_2018"
105,1,0.0163934426229508,61,"2017_2018"
107,1,0.0175438596491228,57,"2017_2018"
109,1,0.0181818181818182,55,"2017_2018"
111,1,0.0188679245283019,53,"2017_2018"
113,1,0.0196078431372549,51,"2017_2018"
115,1,0.0208333333333333,48,"2017_2018"
