"interval","sum_rank_prediction_correct","average_rank_prediction_correct","sample_size","seasons"
79,120,0.190174326465927,631,"2019_2020"
81,121,0.1890625,640,"2019_2020"
83,122,0.187403993855607,651,"2019_2020"
85,123,0.186646433990895,659,"2019_2020"
87,123,0.184131736526946,668,"2019_2020"
89,123,0.182763744427935,673,"2019_2020"
91,124,0.182621502209131,679,"2019_2020"
93,125,0.181950509461426,687,"2019_2020"
95,126,0.182080924855491,692,"2019_2020"
97,126,0.18077474892396,697,"2019_2020"
99,126,0.17923186344239,703,"2019_2020"
101,126,0.178217821782178,707,"2019_2020"
103,126,0.17671809256662,713,"2019_2020"
105,126,0.175977653631285,716,"2019_2020"
107,126,0.174515235457064,722,"2019_2020"
109,126,0.17283950617284,729,"2019_2020"
111,126,0.170963364993216,737,"2019_2020"
113,126,0.170500676589986,739,"2019_2020"
115,126,0.17004048582996,741,"2019_2020"
117,126,0.168900804289544,746,"2019_2020"
119,127,0.169786096256685,748,"2019_2020"
121,127,0.169559412550067,749,"2019_2020"
123,127,0.169107856191744,751,"2019_2020"
125,127,0.168211920529801,755,"2019_2020"
127,127,0.167325428194993,759,"2019_2020"
129,127,0.166666666666667,762,"2019_2020"
131,127,0.166448230668414,763,"2019_2020"
133,127,0.16579634464752,766,"2019_2020"
135,127,0.164935064935065,770,"2019_2020"
137,127,0.164507772020725,772,"2019_2020"
139,127,0.164507772020725,772,"2019_2020"
141,127,0.164294954721863,773,"2019_2020"
143,127,0.164082687338501,774,"2019_2020"
145,127,0.164082687338501,774,"2019_2020"
147,127,0.163659793814433,776,"2019_2020"
149,127,0.163659793814433,776,"2019_2020"
151,127,0.163659793814433,776,"2019_2020"
153,127,0.163239074550129,778,"2019_2020"
155,127,0.163029525032092,779,"2019_2020"
157,127,0.162820512820513,780,"2019_2020"
159,127,0.162612035851472,781,"2019_2020"
161,127,0.162196679438059,783,"2019_2020"
163,127,0.161989795918367,784,"2019_2020"
165,127,0.161577608142494,786,"2019_2020"
167,127,0.160963244613435,789,"2019_2020"
169,127,0.160759493670886,790,"2019_2020"
171,127,0.160556257901391,791,"2019_2020"
173,127,0.159949622166247,794,"2019_2020"
175,127,0.159547738693467,796,"2019_2020"
177,127,0.159547738693467,796,"2019_2020"
179,127,0.159547738693467,796,"2019_2020"
181,127,0.159547738693467,796,"2019_2020"
183,127,0.159147869674185,798,"2019_2020"
185,127,0.158948685857322,799,"2019_2020"
187,127,0.15875,800,"2019_2020"
189,127,0.15875,800,"2019_2020"
191,127,0.15875,800,"2019_2020"
193,127,0.15875,800,"2019_2020"
195,127,0.15875,800,"2019_2020"
197,127,0.15875,800,"2019_2020"
199,127,0.15875,800,"2019_2020"
201,127,0.15875,800,"2019_2020"
203,127,0.15875,800,"2019_2020"
205,127,0.15875,800,"2019_2020"
207,127,0.15875,800,"2019_2020"
209,127,0.158551810237203,801,"2019_2020"
1,5,0.3125,16,"2021_2022"
3,13,0.282608695652174,46,"2021_2022"
5,27,0.329268292682927,82,"2021_2022"
7,43,0.344,125,"2021_2022"
9,53,0.335443037974684,158,"2021_2022"
11,62,0.316326530612245,196,"2021_2022"
13,70,0.297872340425532,235,"2021_2022"
15,75,0.284090909090909,264,"2021_2022"
17,85,0.28428093645485,299,"2021_2022"
19,93,0.275964391691395,337,"2021_2022"
21,100,0.271739130434783,368,"2021_2022"
23,109,0.26980198019802,404,"2021_2022"
25,114,0.255605381165919,446,"2021_2022"
27,125,0.258264462809917,484,"2021_2022"
29,130,0.253411306042885,513,"2021_2022"
31,135,0.248161764705882,544,"2021_2022"
33,143,0.250877192982456,570,"2021_2022"
35,148,0.248739495798319,595,"2021_2022"
37,151,0.245928338762215,614,"2021_2022"
39,155,0.244094488188976,635,"2021_2022"
41,159,0.24054462934947,661,"2021_2022"
43,160,0.233918128654971,684,"2021_2022"
45,164,0.233618233618234,702,"2021_2022"
47,167,0.229080932784636,729,"2021_2022"
49,171,0.228915662650602,747,"2021_2022"
51,175,0.226683937823834,772,"2021_2022"
53,179,0.224874371859296,796,"2021_2022"
55,181,0.221271393643032,818,"2021_2022"
57,183,0.219951923076923,832,"2021_2022"
59,185,0.216121495327103,856,"2021_2022"
61,186,0.213058419243986,873,"2021_2022"
63,189,0.212121212121212,891,"2021_2022"
65,190,0.209481808158765,907,"2021_2022"
67,191,0.205818965517241,928,"2021_2022"
69,192,0.204472843450479,939,"2021_2022"
71,193,0.20230607966457,954,"2021_2022"
73,193,0.2,965,"2021_2022"
75,193,0.198969072164948,970,"2021_2022"
77,195,0.198170731707317,984,"2021_2022"
79,196,0.196984924623116,995,"2021_2022"
81,199,0.197813121272366,1006,"2021_2022"
83,202,0.199014778325123,1015,"2021_2022"
85,203,0.197663096397274,1027,"2021_2022"
87,203,0.195756991321119,1037,"2021_2022"
89,203,0.194444444444444,1044,"2021_2022"
91,204,0.193732193732194,1053,"2021_2022"
93,205,0.193032015065913,1062,"2021_2022"
95,205,0.19176800748363,1069,"2021_2022"
97,205,0.191053122087605,1073,"2021_2022"
99,206,0.191094619666048,1078,"2021_2022"
101,206,0.18951241950322,1087,"2021_2022"
103,206,0.188817598533456,1091,"2021_2022"
105,206,0.187272727272727,1100,"2021_2022"
107,206,0.18625678119349,1106,"2021_2022"
109,207,0.186151079136691,1112,"2021_2022"
111,207,0.18515205724508,1118,"2021_2022"
113,207,0.184491978609626,1122,"2021_2022"
115,207,0.183836589698046,1126,"2021_2022"
117,207,0.183185840707965,1130,"2021_2022"
119,207,0.182378854625551,1135,"2021_2022"
121,208,0.182616330114135,1139,"2021_2022"
123,208,0.181659388646288,1145,"2021_2022"
125,208,0.181342632955536,1147,"2021_2022"
127,208,0.180869565217391,1150,"2021_2022"
129,208,0.180555555555556,1152,"2021_2022"
131,208,0.179930795847751,1156,"2021_2022"
133,208,0.179155900086133,1161,"2021_2022"
135,208,0.178694158075601,1164,"2021_2022"
137,209,0.179091688089117,1167,"2021_2022"
139,209,0.178785286569718,1169,"2021_2022"
141,209,0.178327645051195,1172,"2021_2022"
143,209,0.178023850085179,1174,"2021_2022"
145,209,0.177721088435374,1176,"2021_2022"
147,209,0.177721088435374,1176,"2021_2022"
149,209,0.17741935483871,1178,"2021_2022"
151,209,0.177118644067797,1180,"2021_2022"
153,209,0.176371308016878,1185,"2021_2022"
155,209,0.176074136478517,1187,"2021_2022"
157,209,0.176074136478517,1187,"2021_2022"
159,209,0.175777964676198,1189,"2021_2022"
161,209,0.175777964676198,1189,"2021_2022"
163,209,0.17563025210084,1190,"2021_2022"
165,209,0.175188600167645,1193,"2021_2022"
167,209,0.175041876046901,1194,"2021_2022"
169,209,0.175041876046901,1194,"2021_2022"
171,209,0.174749163879599,1196,"2021_2022"
