,TeamName,Starter_1,Starter_2,Starter_3,Starter_4,Starter_5,Starter_6,Starter_7,Starter_8,Starter_9,Starter_10,Starter_11,Sub_1,Sub_2,Sub_3,Sub_4,Sub_5,Unused_1,Unused_2,Unused_3,Unused_4,Unused_5,Unused_6,Unused_7,Unused_8,Unused_9,Unused_10,Unused_11,Unused_12,Unused_13,Unused_14,Unused_15,Competition,Competition General,Date,Match
10,Qatar,1 Qasem Burhan,14 Ibrahim Al-Ghanim,6 Marcone,19 Khalid Muftah,7 Wesam Rizik,3 Mohammed Kasola,4 Anas Mubarak,15 Talal Al-Bloushi,10 Khalfan Ibrahim,16 Mohamed Razak,23 Sebastián Soria,2 Hamid Ismaeil,12 Magid Mohamed Hassan,17 Hasan Al-Haydos,-,-,21 Rajab Hamza Kassim,22 Baba Malick N'Diaye,18 Khalid Saleh,11 Mesaad Al-Hamad,8 Abdulla Afifa,5 Majdi Siddiq,20 Younes Ali,13 Abdulaziz Hatem,9 Jaralla Al-Marri,-,-,-,-,-,-,"World Cup Qualifiers, 2014, Asia","World Cup Qualifiers, Asia","Oct 16, 2012",Qatar vs Uzbekistan
10,Uzbekistan,12 Ignatiy Nesterov,2 Anzur Ismoilov,20 Islom Tukhtakhuzhaev,23 Akmal Shorakhmedov,7 Azizbek Khaydarov,18 Timur Kapadze,6 Jasur Khasanov,8 Server Djeparov,17 Sanzhar Tursunov,22 Shokhrukh Gadoev,10 Ulugbek Bakaev,13 Oleg Zoteev,19 Vitaliy Denisov,15 Aleksandr Geynrikh,-,-,1 Murod Zukhurov,21 Sardor Kobulzhanov,3 Shavkat Mulladzhanov,4 Artyom Filiposyan,5 Kamoliddin Tadzhiev,14 Stanislav Andreev,9 Fozil Musaev,11 Marat Bikmaev,16 Igor Taran,-,-,-,-,-,-,"World Cup Qualifiers, 2014, Asia","World Cup Qualifiers, Asia","Oct 16, 2012",Qatar vs Uzbekistan
11,Iran,1 Mehdi Rahmati,4 Seyed Jalal Hosseini,15 Pejman Montazeri,23 Mehrdad Pooladi,2 Khosro Heydari,6 Javad Nekounam,14 Andranik Teymourian,19 Mohammad Nouri,7 Masoud Shojaei,21 Ashkan Dejagah,16 Reza Ghoochannejhad,13 Hossein Mahini,17 Maziar Zare,9 Mohammad Reza Khalatbari,-,-,12 Rahman Ahmadi,22 Sosha Makani,20 Mohammad Nosrati,3 Ehsan Hajsafi,18 Pejman Nouri,5 Omid Nazari,8 Ali Karimi,11 Mohammad Ghazi,10 Karim Ansarifard,-,-,-,-,-,-,"World Cup Qualifiers, 2014, Asia","World Cup Qualifiers, Asia","Oct 16, 2012",Iran vs South Korea
11,South Korea,1 Sung-ryong Jung,4 In-hwan Jung,5 Tae-hwi Kwak,22 Seok-yeong Yun,15 Beom-seok Oh,12 Jong-woo Park,16 Sung-yueng Ki,7 Bo-kyung Kim,10 Chu-young Park,11 Keun-ho Lee,18 Shin-wook Kim,6 Dae-sung Ha,9 Heung-min Son,17 Chung-yong Lee,-,-,21 Young-kwang Kim,23 Jin-hyeon Kim,14 Young-gwon Kim,19 Kee-hee Kim,3 Ju-ho Park,2 Kwang-hoon Shin,8 Jung-woo Kim,13 Seung-gi Lee,20 Tae-hee Nam,-,-,-,-,-,-,"World Cup Qualifiers, 2014, Asia","World Cup Qualifiers, Asia","Oct 16, 2012",Iran vs South Korea
12,Qatar,- Qasem Burhan,- Ibrahim Majed,- Khalid Muftah,- Mesaad Al-Hamad,- Wesam Rizik,- Mohammed Kasola,- Talal Al-Bloushi,- Khalfan Ibrahim,- Fábio César Montezine,- Hasan Al-Haydos,- Sebastián Soria,- Adel Lamy,- Anas Mubarak,- Yusef Ahmed Ali,-,-,- Baba Malick N'Diaye,- Mohammad Jeddo,- Mohamed Razak,-,-,-,-,-,-,-,-,-,-,-,-,"World Cup Qualifiers, 2014, Asia","World Cup Qualifiers, Asia","Nov 14, 2012",Qatar vs Lebanon
12,Lebanon,- Abbas Hassan,- Youssef Mohamad,- Bilal Najarin,- Walid Ismael,- Haytham Faour,- Roda Antar,- Abbas Atwi,- Mohamad Haidar,- Hassan Maatouk,- Ahmad Zreik,- Mahmoud El-Ali,- Hassan Chaito,- Fayez Chamsine,- Hassan El Mohamad,-,-,- Ziad Al-Samad,- Ali Al-Saadi,- Mootaz Jounaidi,- Mouhamad Chamass,- Amer Khan,-,-,-,-,-,-,-,-,-,-,"World Cup Qualifiers, 2014, Asia","World Cup Qualifiers, Asia","Nov 14, 2012",Qatar vs Lebanon
13,Iran,1 Mehdi Rahmati,4 Seyed Jalal Hosseini,15 Pejman Montazeri,23 Mehrdad Pooladi,2 Khosro Heydari,6 Javad Nekounam,14 Andranik Teymourian,7 Mohammad Nouri,9 Mohammad Reza Khalatbari,21 Ashkan Dejagah,16 Reza Ghoochannejhad,18 Pejman Nouri,- Alireza Abbasfard,10 Karim Ansarifard,-,-,- Rahman Ahmadi,22 Sosha Makani,- Mohammad Nosrati,3 Shoja Khalilzadeh,- Hossein Mahini,- Ghasem Dehnavi,- Omid Nazari,- Milad Nouri,- Yaghoub Karimi,-,-,-,-,-,-,"World Cup Qualifiers, 2014, Asia","World Cup Qualifiers, Asia","Nov 14, 2012",Iran vs Uzbekistan
13,Uzbekistan,12 Ignatiy Nesterov,4 Artyom Filiposyan,6 Islom Tukhtakhuzhaev,19 Vitaliy Denisov,2 Akmal Shorakhmedov,18 Fozil Musaev,7 Azizbek Khaydarov,17 Sanzhar Tursunov,22 Shokhrukh Gadoev,8 Server Djeparov,10 Ulugbek Bakaev,13 Oleg Zoteev,5 Islom Inomov,15 Aleksandr Geynrikh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"World Cup Qualifiers, 2014, Asia","World Cup Qualifiers, Asia","Nov 14, 2012",Iran vs Uzbekistan
14,South Korea,1 Sung-ryong Jung,4 In-hwan Jung,5 Tae-hwi Kwak,19 Won-jae Park,15 Beom-seok Oh,16 Sung-yueng Ki,13 Ja-cheol Koo,9 Keun-ho Lee,17 Chung-yong Lee,18 Shin-wook Kim,10 Dong-won Ji,11 Heung-min Son,20 Dong-gook Lee,-,-,-,21 Yong-dae Kim,23 Bum-young Lee,3 Kee-hee Kim,14 Hyun-soo Jang,22 Seok-yeong Yun,2 Chul-soon Choi,6 Hyung-min Shin,12 Kook-young Han,8 Ji-soo Hwang,7 Dae-sung Ha,-,-,-,-,-,"World Cup Qualifiers, 2014, Asia","World Cup Qualifiers, Asia","Mar 26, 2013",South Korea vs Qatar
14,Qatar,1 Qasem Burhan,14 Ibrahim Al-Ghanim,13 Ibrahim Majed,6 Bilal Mohammed Rajab,3 Abdelkarim Hassan,5 Mosaab Mahmoud,7 Wesam Rizik,15 Talal Al-Bloushi,10 Khalfan Ibrahim,2 Hamid Ismaeil,23 Sebastián Soria,4 Ahmad Yasser,17 Abdul Aziz Al-Sulaiti,16 Mahir Yousef,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"World Cup Qualifiers, 2014, Asia","World Cup Qualifiers, Asia","Mar 26, 2013",South Korea vs Qatar
15,Uzbekistan,12 Ignatiy Nesterov,5 Anzur Ismoilov,4 Artyom Filiposyan,23 Akmal Shorakhmedov,7 Azizbek Khaydarov,9 Odil Akhmedov,6 Jasur Khasanov,8 Server Djeparov,17 Sanzhar Tursunov,22 Shokhrukh Gadoev,10 Ulugbek Bakaev,11 Kamoliddin Tadzhiev,13 Oleg Zoteev,14 Fozil Musaev,-,-,1 Murod Zukhurov,21 Sardor Kobulzhanov,3 Shavkat Mulladzhanov,19 Vitaliy Denisov,20 Islom Inomov,2 Vladimir Kozak,18 Timur Kapadze,15 Aleksandr Geynrikh,16 Kamoliddin Murzoev,-,-,-,-,-,-,"World Cup Qualifiers, 2014, Asia","World Cup Qualifiers, Asia","Mar 26, 2013",Uzbekistan vs Lebanon
15,Lebanon,23 Abbas Hassan,4 Mootaz Jounaidi,3 Youssef Mohamad,18 Walid Ismael,19 Ali Hamam,15 Haytham Faour,6 Mouhamad Chamass,20 Adnan Haidar,8 Hassan Chaito,9 Mohamad Haidar,10 Abbas Atwi,22 Alexis Khazzaka,7 Hassan Maatouk,13 Abbas Ali Atwi,-,-,21 Lary Mehanna,1 Mehdi Khalil,2 Hassan Daher,5 Nour Mansour,12 Nader Matar,14 Amer Khan,16 Mahmoud Kojok,17 Fayez Chamsine,11 Hussein Melhem Awada,-,-,-,-,-,-,"World Cup Qualifiers, 2014, Asia","World Cup Qualifiers, Asia","Mar 26, 2013",Uzbekistan vs Lebanon
16,Qatar,1 Qasem Burhan,14 Ibrahim Al-Ghanim,13 Ibrahim Majed,6 Bilal Mohammed Rajab,5 Abdelkarim Hassan,4 Mosaab Mahmoud,7 Wesam Rizik,15 Talal Al-Bloushi,10 Khalfan Ibrahim,11 Hasan Al-Haydos,20 Yusef Ahmed Ali,2 Hamid Ismaeil,12 Magid Mohamed Hassan,81 Abdulqadir Ilyas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"World Cup Qualifiers, 2014, Asia","World Cup Qualifiers, Asia","Jun 4, 2013",Qatar vs Iran
16,Iran,1 Rahman Ahmadi,5 Amirhossein Sadeghi,4 Seyed Jalal Hosseini,19 Hashem Beikzadeh,15 Pejman Montazeri,6 Javad Nekounam,14 Andranik Teymourian,8 Mojtaba Jabbari,7 Masoud Shojaei,2 Khosro Heydari,16 Reza Ghoochannejhad,- Mohammad Ebrahimi,- Mohammad Reza Khalatbari,- Gholamreza Rezaei,-,-,12 Alireza Haghighi,22 Sosha Makani,20 Shoja Khalilzadeh,3 Ehsan Hajsafi,13 Hossein Mahini,17 Ghasem Hadadifar,18 Mohsen Mosalman,10 Mehrdad Oladi,21 Farzad Hatami,-,-,-,-,-,-,"World Cup Qualifiers, 2014, Asia","World Cup Qualifiers, Asia","Jun 4, 2013",Qatar vs Iran
17,Lebanon,23 Abbas Hassan,4 Mootaz Jounaidi,3 Youssef Mohamad,18 Walid Ismael,17 Mohamad Zein Tahan,15 Haytham Faour,6 Mouhamad Chamass,8 Hassan Chaito,9 Mohamad Haidar,7 Hassan Maatouk,- Abbas Ali Atwi,5 Nour Mansour,14 Amer Khan,20 Abbas Atwi,-,-,21 Lary Mehanna,1 Mehdi Khalil,2 Hassan Daher,12 Nader Matar,10 Mohamed Atwi,19 Mahmoud Kojok,- Fayez Chamsine,11 Hussein Melhem Awada,-,-,-,-,-,-,-,"World Cup Qualifiers, 2014, Asia","World Cup Qualifiers, Asia","Jun 4, 2013",Lebanon vs South Korea
17,South Korea,1 Sung-ryong Jung,3 Kee-hee Kim,5 Tae-hwi Kwak,19 Chi-woo Kim,16 Kwang-hoon Shin,4 Nam-il Kim,8 Kook-young Han,7 Bo-kyung Kim,11 Keun-ho Lee,17 Chung-yong Lee,20 Dong-gook Lee,9 Heung-min Son,10 Dong-won Ji,18 Shin-wook Kim,-,-,21 Young-kwang Kim,23 Bum-young Lee,22 Young-gwon Kim,2 Hyun-soo Jang,14 In-hwan Jung,12 Ju-ho Park,15 Chang-soo Kim,6 Myung-joo Lee,13 Seung-gi Lee,-,-,-,-,-,-,"World Cup Qualifiers, 2014, Asia","World Cup Qualifiers, Asia","Jun 4, 2013",Lebanon vs South Korea
18,South Korea,1 Sung-ryong Jung,22 Young-gwon Kim,5 Tae-hwi Kwak,19 Chi-woo Kim,15 Chang-soo Kim,4 Jong-woo Park,6 Myung-joo Lee,11 Keun-ho Lee,17 Chung-yong Lee,18 Shin-wook Kim,9 Heung-min Son,3 Kee-hee Kim,10 Dong-won Ji,20 Dong-gook Lee,-,-,21 Young-kwang Kim,23 Bum-young Lee,2 Hyun-soo Jang,14 In-hwan Jung,12 Ju-ho Park,16 Kwang-hoon Shin,8 Kook-young Han,7 Bo-kyung Kim,13 Seung-gi Lee,-,-,-,-,-,-,"World Cup Qualifiers, 2014, Asia","World Cup Qualifiers, Asia","Jun 11, 2013",South Korea vs Uzbekistan
