,TeamName,Starter_1,Starter_2,Starter_3,Starter_4,Starter_5,Starter_6,Starter_7,Starter_8,Starter_9,Starter_10,Starter_11,Sub_1,Sub_2,Sub_3,Sub_4,Sub_5,Unused_1,Unused_2,Unused_3,Unused_4,Unused_5,Unused_6,Unused_7,Unused_8,Unused_9,Unused_10,Unused_11,Unused_12,Unused_13,Unused_14,Unused_15,Competition,Date,Match
10,Brazil U20,12 Kaique Pereira,4 Robert Renan,3 Jean Pedroso,6 Kaiki,2 Arthur,5 Andrey Santos,8 Marlon Gomes,16 Marquinhos,11 Biro,20 Sávio,9 Marcos Leonardo,14 Douglas Mendes,13 André Dhominique,15 Ronald Falkoski,10 Matheus Martins,17 Giovane,1 Mycael,21 Kauã Santos,18 Kevin,7 Giovani,19 Matheus Nascimento,-,-,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"Wed May 31, 2023",Brazil U20 vs Tunisia U20
10,Tunisia U20,16 Dries Arfaoui,19 Ali Saoudi,5 Raed Bouchniba,4 Karim El Abed,2 Mahmoud Ghorbel,7 Samy Chouchane,8 Yassine Dridi,13 Mohamed Wael Derbali,20 Béchir Yacoub,18 Cristo,10 Chaïm El Djebali,11 Raki Aouani,21 Jibril Othman,9 Youssef Snana,-,-,1 Raed Gazzeh,12 Thomas Zouaghi,3 Zinedine Sassi,17 Malek Mehri,15 Baraket Hmidi,-,-,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"Wed May 31, 2023",Brazil U20 vs Tunisia U20
11,Colombia U20,1 Luis Marquinez,4 Fernando Álvarez,5 Kevin Mantilla,17 Andrés Salazar,3 Édier Ocampo,8 Gustavo Puerta,18 Jhojan Torres,11 Alexis Manyoma,16 Óscar Cortés,10 Yáser Asprilla,9 Tomás Ángel,14 Julián Palacios,6 Jhon Vélez,13 Juan Castilla,19 Miguel Monsalve,7 Jorge Cabezas,21 Alexei Rojas,12 Juan Castillo,2 Daniel Pedrozo,15 Devan Tanton,20 Daniel Luna,-,-,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"Wed May 31, 2023",Colombia U20 vs Slovakia U20
11,Slovakia U20,21 Adam Danko,5 David Ovsonka,6 Sebastian Kosa,13 Marek Ujlaky,4 Jan Murgas,17 Dominik Snajder,19 Samuel Kopasek,18 Nicolas Sikula,16 Leo Sauer,8 Artur Gajdos,10 Timotej Jambor,2 Simon Micuda,14 Máté Szolgai,15 Nino Marcelli,11 Adam Gazi,-,1 Samuel Belanik,12 Adam Hrdina,3 Samuel Bagin,20 Mario Sauer,7 Bálint Csóka,9 Adam Griger,-,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"Wed May 31, 2023",Colombia U20 vs Slovakia U20
12,Argentina U20,1 Federico Gomes,6 Valentín Gómez,13 Tomás Avilés,3 Valentín Barco,4 Agustín Giay,5 Federico Redondo,14 Mateo Tanlongo,18 Brian Aguirre,16 Luka Romero,10 Valentín Carboni,9 Alejo Véliz,19 Gino Infantino,7 Juan Carlos Gauto,21 Ignacio Maestro Puch,-,-,17 Nicolás Cláa,12 Lucas Lavagnino,2 Lautaro Di Lollo,15 Román Vega,8 Máximo Perrone,20 Ignacio Miramón,11 Matías Soulé,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"Wed May 31, 2023",Argentina U20 vs Nigeria U20
12,Nigeria U20,21 Chijioke Aniagboso,5 Abel Ogwuche,12 Benjamin Fredrick,3 Solomon Agbalaka,6 Daniel Bameyi,4 Daniel Daga,8 Tochukwu Nnadi,18 Samson Lawal,15 Sunday Jude,11 Ibrahim Beji Muhammad,9 Salim Fago Lawal,10 Victor Eletu,20 Joshua John,17 Kehinde Ibrahim,19 Umeh Emmanuel,7 Rilwanu Sarki,16 John Audu Utoblo,1 Nathaniel Nwosu,13 Israel Domingo,2 Chimezie Njoku,14 Ibrahim Abdullahi,-,-,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"Wed May 31, 2023",Argentina U20 vs Nigeria U20
13,England U20,1 Matthew Cox,5 Bashir Humphreys,6 Jarell Quansah,15 Ronnie Edwards,4 Alex Scott,10 Carney Chukwuemeka,2 Brooke Norton-Cuffy,11 Harvey Vale,7 Alfie Devine,18 Mateo Joseph,9 Dane Scarlett,3 Callum Doyle,21 Daniel Oyegoke,14 Darko Gyabi,17 Samuel Edozie,19 Liam Delap,12 James Beadle,13 Teddy Sharman-Lowe,16 Imari Samuels,8 Xavier Simons,20 Daniel Jebbison,-,-,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"Wed May 31, 2023",England U20 vs Italy U20
13,Italy U20,1 Sebastiano Desplanches,15 Alessandro Fontanarosa,14 Gabriele Guarino,3 Riccardo Turicchia,2 Mattia Zanotti,16 Giacomo Faticanti,4 Matteo Prati,8 Cesare Casadei,10 Tommaso Baldanzi,9 Giuseppe Ambrosino,18 Francesco Pio Esposito,13 Filippo Fiumanò,6 Samuel Giovane,11 Daniele Montevago,-,-,12 Gioele Zacchi,21 Jacopo Sassi,17 Luca Lipani,19 Duccio Degli Innocenti,7 Niccolò Pisilli,20 Simone Pafundi,-,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"Wed May 31, 2023",England U20 vs Italy U20
14,The Gambia U20,1 Pa Ebou Dampha,5 Dembo Saidykhan,4 Alagie Saine,3 Sainey Sanyang,16 Bakary Jawara,13 Haruna Rasid Njie,6 Mahmudu Bajo,8 Salifu Colley,21 Mamin Sanyang,9 Mansour Mbye,20 Adama Bojang,14 Muhammed Sawaneh,2 Ba Lamin Sowe,11 Modou Lamin Marong,19 Ebrima Singhateh,-,18 Ebrima Jaiteh,17 Youkasseh Sanyang,15 Moses Jarju,12 Muhammed Jobe,7 Bailo Bah,10 Kajally Drammeh,-,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"Thu Jun 1, 2023",The Gambia U20 vs Uruguay U20
14,Uruguay U20,12 Randall Rodríguez,16 Facundo González,2 Sebastián Boselli,13 Alan Matturro,4 Mateo Ponte,5 Fabricio Díaz,14 Damián García,10 Franco González,11 Juan Cruz de los Santos,19 Luciano Rodríguez,7 Anderson Duarte,18 Santiago Homenchenko,8 Rodrigo Chagas,15 Ignacio Sosa,20 Nicolás Siri,-,21 José Arbio,1 Facundo Machado,3 Mateo Antoni,6 Mathías de Ritis,-,-,-,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"Thu Jun 1, 2023",The Gambia U20 vs Uruguay U20
15,Ecuador U20,12 Gilmar Napa,2 Stalin Valencia,4 Joel Ordóñez,16 Maiky de la Cruz,13 Daniel de la Cruz,5 Óscar Zambrano,8 Sebastián González,19 Kendry Páez,10 Nilson Angulo,21 José Klinger,9 Justin Cuero,3 Christian García,18 Tommy Chamba,14 Ariel Mina,7 Alan Minda,11 Cristhoper Zambrano,20 Tony Jiménez,1 Cristhian Loor,6 Yeltzin Erique,15 Denil Castillo,17 Maelo Rentería,-,-,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"Thu Jun 1, 2023",Ecuador U20 vs South Korea U20
15,South Korea U20,1 Jun-hong Kim,4 Seok-hyeon Choi,20 Ji-soo Kim,13 Ye-hoon Choi,2 Chang-woo Park,14 Sang-yun Kang,6 Hyun-bin Park,10 Jun-ho Bae,7 Yong-hak Kim,8 Seung-won Lee,9 Young-jun Lee,5 Chan-wook Lee,19 Seo-joon Bae,3 In-taek Hwang,15 Young-kwang Cho,11 Seong-jin Kang,12 Jung-hoon Kim,21 Hyeon-ho Moon,17 Ji-han Lee,16 Seung-joon Lee,-,-,-,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"Thu Jun 1, 2023",Ecuador U20 vs South Korea U20
16,Guatemala U20,12 Jorge Moreno,4 Mathius Gaitán,16 Jeshua Urizar,14 Jonathan Franco,20 Figo Montaño,15 Andy Domínguez,6 Carlos Santos,8 Néstor Cabrera,13 Allan Juárez,7 Daniel Cardoza,10 Arquímides Ordóñez,1 Fausto Delgado,3 Emerson Raymundo,18 Edy Palencia,11 Rudy Muñoz,17 José Espinoza,21 David Aldana,5 Arian Recinos,2 Randall Corado,19 Anderson Villagrán,9 Jefry Bantes,-,-,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"May 20, 2023",Guatemala U20 vs New Zealand U20
16,New Zealand U20,1 Kees Sims,4 Isaac Hughes,5 Finn Surman,20 Lukas Kelly-Heald,8 Jackson Manuel,6 Fin Conchie,2 Jackson Jarvie,3 Adam Supyk,10 Jay Herdman,7 Noah Karunaratne,9 Oliver Colloty,15 Aaryan Raj,16 Dan McKay,18 Ben Wallace,11 Norman Garbett,19 Kian Donkers,13 Henry Gray,21 Alby Kelly-Heald,14 Finn Linder,12 Everton O'Leary,17 Oliver Fay,-,-,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"May 20, 2023",Guatemala U20 vs New Zealand U20
