,TeamName,Starter_1,Starter_2,Starter_3,Starter_4,Starter_5,Starter_6,Starter_7,Starter_8,Starter_9,Starter_10,Starter_11,Sub_1,Sub_2,Sub_3,Sub_4,Sub_5,Unused_1,Unused_2,Unused_3,Unused_4,Unused_5,Unused_6,Unused_7,Unused_8,Unused_9,Unused_10,Unused_11,Unused_12,Unused_13,Unused_14,Unused_15,Competition,Date,Match
5,Guatemala,1 Nicholas Hagen,4 José Carlos Pinto,3 Nicolás Samayoa,2 José Ardón,7 Aarón Herrera,17 Óscar Castellanos,15 Marlon Sequén,5 Pedro Altán,6 Carlos Mejía,18 Nathaniel Méndez-Laing,9 Rubio Rubín,23 Jorge Aparicio,10 Antonio López,13 Alejandro Galindo,14 Darwin Lom,-,21 Fredy Pérez,12 Ricardo Jérez,20 Gerardo Gordillo,16 José Morales,22 Stheven Robles,19 Gabriel García,11 César Archila,-,-,-,-,-,-,-,-,Gold Cup 2023,"Sun Jul 9, 2023",Guatemala vs Jamaica
5,Jamaica,1 Andre Blake,6 Di'Shon Bernard,17 Damion Lowe,4 Amari'i Bell,21 Javain Brown,15 Joel Latibeaudiere,3 Kevon Lambert,10 Bobby De Cordova-Reid,7 Leon Bailey,12 Demarai Gray,18 Michail Antonio,2 Dexter Lembikisa,8 Daniel Johnson,9 Cory Burke,11 Shamar Nicholson,-,23 Jahmali Waite,13 Coniah Boyce-Clarke,19 Adrian Mariappa,20 Kemar Lawrence,22 Jon Russell,16 Kaheem Parris,14 Dujuan Richards,-,-,-,-,-,-,-,-,Gold Cup 2023,"Sun Jul 9, 2023",Guatemala vs Jamaica
6,USA,1 Matt Turner,12 Miles Robinson,20 Jalen Neal,15 DeJuan Jones,5 Bryan Reynolds,8 James Sands,6 Gianluca Busio,14 Djordje Mihailovic,17 Álex Zendejas,22 Julian Gressel,9 Jesús Ferreira,3 Aaron Long,4 Matt Miazga,10 Cristian Roldán,11 Cade Cowell,13 Jordan Morris,19 Brandon Vazquez,18 Sean Johnson,23 Gabriel Slonina,21 John Tolkin,2 DeAndre Yedlin,24 Jackson Yueill,-,-,-,-,-,-,-,-,-,Gold Cup 2023,"Sun Jul 9, 2023",USA vs Canada
6,Canada,1 Dayne St. Clair,15 Zac McGraw,4 Kamal Miller,5 Steven Vitória,14 Moïse Bombito,20 Ali Ahmed,21 Jonathan Osorio,22 Richie Laryea,11 Liam Millar,10 Junior Hoilett,9 Lucas Cavallini,23 Scott Kennedy,3 Liam Fraser,8 David Wotherspoon,13 Jacob Shaffelburg,19 Charles-Andreas Brym,17 Jacen Russell-Rowe,16 Tom McGill,2 Zachary Brault-Guillard,6 Dominick Zator,12 Victor Loturi,7 Jayden Nelson,-,-,-,-,-,-,-,-,-,Gold Cup 2023,"Sun Jul 9, 2023",USA vs Canada
7,USA,1 Matt Turner,3 Aaron Long,4 Matt Miazga,21 John Tolkin,2 DeAndre Yedlin,8 James Sands,7 Alan Soñora,16 Aidan Morris,13 Jordan Morris,17 Álex Zendejas,9 Jesús Ferreira,20 Jalen Neal,10 Cristian Roldán,14 Djordje Mihailovic,11 Cade Cowell,19 Brandon Vazquez,18 Sean Johnson,23 Gabriel Slonina,12 Miles Robinson,15 DeJuan Jones,5 Bryan Reynolds,6 Gianluca Busio,-,-,-,-,-,-,-,-,-,Gold Cup 2023,"Jun 24, 2023",USA vs Jamaica
7,Jamaica,1 Andre Blake,17 Damion Lowe,19 Adrian Mariappa,4 Amari'i Bell,2 Dexter Lembikisa,15 Joel Latibeaudiere,3 Kevon Lambert,12 Demarai Gray,10 Bobby De Cordova-Reid,7 Leon Bailey,18 Michail Antonio,20 Kemar Lawrence,8 Daniel Johnson,9 Cory Burke,11 Shamar Nicholson,-,23 Jahmali Waite,13 Coniah Boyce-Clarke,6 Di'Shon Bernard,21 Javain Brown,22 Jon Russell,16 Kaheem Parris,14 Dujuan Richards,-,-,-,-,-,-,-,-,Gold Cup 2023,"Jun 24, 2023",USA vs Jamaica
8,Trinidad,21 Nicklas Frenderup,4 Sheldon Bateau,12 Kareem Moses,18 Triston Hodge,16 Alvin Jones,15 Neveal Hackshaw,17 Andre Rampersad,10 Kevin Molino,20 Kaïlé Auvray,7 Ryan Telfer,11 Levi García,6 Luke Singh,3 Joevin Jones,8 Ajani Fortune,13 Real Gill,19 Malcolm Shaw,1 Marvin Phillip,22 Denzil Smith,5 Leland Archer,2 Aubrey David,14 Shannon Gómez,23 Molik Khan,9 Kadeem Corbin,-,-,-,-,-,-,-,-,Gold Cup 2023,"Jun 25, 2023",Trinidad vs St. Kitts/Nevis
8,St. Kitts/Nevis,18 Julani Archibald,4 Andre Burley,6 Lois Maynard,5 Jameel Ible,2 Malique Roberts,14 Raheem Somersall,8 Yohannes Mitchum,19 Romaine Sawyers,21 Omari Sterling-James,7 Tiquanny Williams,16 Keithroy Freeman,15 Mervin Lewis,22 Ronaldo Belgrove,11 Tyquan Terrell,10 Jacob Hazel,17 Rowan Liburd,1 Jamal Francis,23 Xander Parke,12 Dijhorn Simmonds,13 Ezrick Nicholls,20 Raheem Hanley,9 Carlos Bertie,-,-,-,-,-,-,-,-,-,Gold Cup 2023,"Jun 25, 2023",Trinidad vs St. Kitts/Nevis
9,Jamaica,1 Andre Blake,6 Di'Shon Bernard,17 Damion Lowe,20 Kemar Lawrence,21 Javain Brown,15 Joel Latibeaudiere,3 Kevon Lambert,12 Demarai Gray,10 Bobby De Cordova-Reid,7 Leon Bailey,18 Michail Antonio,2 Dexter Lembikisa,8 Daniel Johnson,14 Dujuan Richards,9 Cory Burke,11 Shamar Nicholson,23 Jahmali Waite,13 Coniah Boyce-Clarke,19 Adrian Mariappa,4 Amari'i Bell,22 Jon Russell,16 Kaheem Parris,-,-,-,-,-,-,-,-,-,Gold Cup 2023,"Jun 28, 2023",Jamaica vs Trinidad
9,Trinidad,21 Nicklas Frenderup,2 Aubrey David,4 Sheldon Bateau,12 Kareem Moses,14 Shannon Gómez,16 Alvin Jones,15 Neveal Hackshaw,17 Andre Rampersad,8 Ajani Fortune,19 Malcolm Shaw,11 Levi García,3 Joevin Jones,18 Triston Hodge,23 Molik Khan,20 Kaïlé Auvray,10 Kevin Molino,1 Marvin Phillip,22 Denzil Smith,5 Leland Archer,6 Luke Singh,9 Kadeem Corbin,13 Real Gill,7 Ryan Telfer,-,-,-,-,-,-,-,-,Gold Cup 2023,"Jun 28, 2023",Jamaica vs Trinidad
10,St. Kitts/Nevis,18 Julani Archibald,3 Gerard Williams,6 Lois Maynard,5 Jameel Ible,2 Malique Roberts,4 Andre Burley,14 Raheem Somersall,19 Romaine Sawyers,11 Tyquan Terrell,7 Tiquanny Williams,16 Keithroy Freeman,15 Mervin Lewis,8 Yohannes Mitchum,21 Omari Sterling-James,9 Carlos Bertie,10 Jacob Hazel,1 Jamal Francis,23 Xander Parke,12 Dijhorn Simmonds,13 Ezrick Nicholls,20 Raheem Hanley,22 Ronaldo Belgrove,17 Rowan Liburd,-,-,-,-,-,-,-,-,Gold Cup 2023,"Jun 28, 2023",St. Kitts/Nevis vs USA
10,USA,18 Sean Johnson,4 Matt Miazga,20 Jalen Neal,15 DeJuan Jones,5 Bryan Reynolds,8 James Sands,6 Gianluca Busio,14 Djordje Mihailovic,11 Cade Cowell,17 Álex Zendejas,9 Jesús Ferreira,10 Cristian Roldán,7 Alan Soñora,16 Aidan Morris,22 Julian Gressel,19 Brandon Vazquez,1 Matt Turner,23 Gabriel Slonina,3 Aaron Long,12 Miles Robinson,21 John Tolkin,2 DeAndre Yedlin,13 Jordan Morris,-,-,-,-,-,-,-,-,Gold Cup 2023,"Jun 28, 2023",St. Kitts/Nevis vs USA
11,USA,1 Matt Turner,12 Miles Robinson,20 Jalen Neal,15 DeJuan Jones,5 Bryan Reynolds,8 James Sands,6 Gianluca Busio,14 Djordje Mihailovic,10 Cristian Roldán,17 Álex Zendejas,9 Jesús Ferreira,4 Matt Miazga,2 DeAndre Yedlin,22 Julian Gressel,11 Cade Cowell,19 Brandon Vazquez,18 Sean Johnson,23 Gabriel Slonina,3 Aaron Long,21 John Tolkin,7 Alan Soñora,13 Jordan Morris,-,-,-,-,-,-,-,-,-,Gold Cup 2023,"Jul 2, 2023",USA vs Trinidad
11,Trinidad,1 Marvin Phillip,5 Leland Archer,4 Sheldon Bateau,18 Triston Hodge,16 Alvin Jones,6 Luke Singh,15 Neveal Hackshaw,3 Joevin Jones,10 Kevin Molino,11 Levi García,19 Malcolm Shaw,14 Shannon Gómez,17 Andre Rampersad,9 Kadeem Corbin,13 Real Gill,20 Kaïlé Auvray,22 Denzil Smith,21 Nicklas Frenderup,2 Aubrey David,12 Kareem Moses,8 Ajani Fortune,23 Molik Khan,7 Ryan Telfer,-,-,-,-,-,-,-,-,Gold Cup 2023,"Jul 2, 2023",USA vs Trinidad
12,Jamaica,23 Jahmali Waite,6 Di'Shon Bernard,19 Adrian Mariappa,4 Amari'i Bell,2 Dexter Lembikisa,15 Joel Latibeaudiere,22 Jon Russell,7 Leon Bailey,12 Demarai Gray,16 Kaheem Parris,18 Michail Antonio,13 Coniah Boyce-Clarke,8 Daniel Johnson,14 Dujuan Richards,9 Cory Burke,11 Shamar Nicholson,1 Andre Blake,20 Kemar Lawrence,21 Javain Brown,3 Kevon Lambert,10 Bobby De Cordova-Reid,-,-,-,-,-,-,-,-,-,-,Gold Cup 2023,"Jul 2, 2023",Jamaica vs St. Kitts/Nevis
12,St. Kitts/Nevis,18 Julani Archibald,3 Gerard Williams,6 Lois Maynard,20 Raheem Hanley,2 Malique Roberts,14 Raheem Somersall,8 Yohannes Mitchum,21 Omari Sterling-James,19 Romaine Sawyers,7 Tiquanny Williams,17 Rowan Liburd,1 Jamal Francis,12 Dijhorn Simmonds,15 Mervin Lewis,22 Ronaldo Belgrove,10 Jacob Hazel,23 Xander Parke,5 Jameel Ible,13 Ezrick Nicholls,11 Tyquan Terrell,9 Carlos Bertie,16 Keithroy Freeman,-,-,-,-,-,-,-,-,-,Gold Cup 2023,"Jul 2, 2023",Jamaica vs St. Kitts/Nevis
13,Haiti,1 Alexandre Pierre,4 Ricardo Adé,6 Garven Metusala,22 Alex Júnior,2 Carlens Arcus,18 Carl Sainté,21 Bryan Alceus,11 Derrick Etienne Jr.,9 Duckens Nazon,14 Fafà Picault,20 Frantzdy Pierrot,19 Steeven Saba,17 Danley Jean Jacques,13 Jairo Jean,7 Carnejy Antoine,-,12 Josué Duverger,23 Garissone Innocent,15 Steven Séance,10 Wilde-Donald Guerrier,3 Jeppe Simonsen,5 Djimy Alexis,8 Leverton Pierre,16 Mondy Prunier,-,-,-,-,-,-,-,Gold Cup 2023,"Jun 25, 2023",Haiti vs Qatar
13,Qatar,22 Meshaal Barsham,2 Ahmed Suhail,5 Tarek Salman,14 Homam Al-Amin,15 Bassam Al-Rawi,6 Ahmed Fathi,20 Jassem Gaber,16 Mustafa Mashaal,3 Hazem Ahmed,11 Yusuf Abdurisag,9 Mohammed Muntari,4 Yousef Aymen,10 Mohammed Waad,8 Ali Asad,17 Tameem Mansour,-,1 Salah Zakaria,13 Musab Khoder,23 Assim Madibo,12 Abdullah Maarafiya,7 Mahdi Al-Mejaba,18 Khalid Muneer,19 Almoez Ali,-,-,-,-,-,-,-,-,Gold Cup 2023,"Jun 25, 2023",Haiti vs Qatar
14,Mexico,13 Guillermo Ochoa,5 Johan Vásquez,4 Edson Álvarez,23 Jesús Gallardo,19 Jorge Sánchez,18 Luis Chávez,7 Luis Romo,14 Érick Sánchez,17 Orbelín Pineda,15 Uriel Antuna,20 Henry Martín,21 Israel Reyes,8 Carlos Rodríguez,10 Roberto Alvarado,9 Ozziel Herrera,11 Santiago Gimenez,1 Antonio Rodríguez,12 Luis Malagón,22 Víctor Guzmán,2 Julián Araujo,16 Diego Lainez,-,-,-,-,-,-,-,-,-,-,Gold Cup 2023,"Jun 25, 2023",Mexico vs Honduras
14,Honduras,22 Luis López,15 Luis Vega,2 Devron García,8 Joseph Rosales,4 Marcelo Santos,14 Jorge Álvarez,20 Deybi Flores,10 Alexander López,17 José Pinto,7 Alberth Elis,12 Jorge Benguché,19 Omar Elvir,6 Bryan Acosta,21 Alexy Vega,9 Rubilio Castillo,11 Jerry Bengtson,1 Edrick Menjívar,18 Harold Fonseca,3 Wesly Decas,23 Franklin Flores,13 Maylor Núñez,5 Cristhian Altamirano,16 Edwin Solano,-,-,-,-,-,-,-,-,Gold Cup 2023,"Jun 25, 2023",Mexico vs Honduras
15,Qatar,22 Meshaal Barsham,2 Ahmed Suhail,5 Tarek Salman,14 Homam Al-Amin,15 Bassam Al-Rawi,6 Ahmed Fathi,10 Mohammed Waad,16 Mustafa Mashaal,8 Ali Asad,11 Yusuf Abdurisag,17 Tameem Mansour,20 Jassem Gaber,3 Hazem Ahmed,13 Musab Khoder,23 Assim Madibo,9 Mohammed Muntari,1 Salah Zakaria,21 Yousef Hassan,4 Yousef Aymen,12 Abdullah Maarafiya,7 Mahdi Al-Mejaba,18 Khalid Muneer,-,-,-,-,-,-,-,-,-,Gold Cup 2023,"Jun 29, 2023",Qatar vs Honduras
15,Honduras,1 Edrick Menjívar,4 Marcelo Santos,15 Luis Vega,19 Omar Elvir,13 Maylor Núñez,20 Deybi Flores,8 Joseph Rosales,6 Bryan Acosta,10 Alexander López,7 Alberth Elis,11 Jerry Bengtson,2 Devron García,14 Jorge Álvarez,16 Edwin Solano,17 José Pinto,9 Rubilio Castillo,18 Harold Fonseca,22 Luis López,3 Wesly Decas,23 Franklin Flores,5 Cristhian Altamirano,21 Alexy Vega,12 Jorge Benguché,-,-,-,-,-,-,-,-,Gold Cup 2023,"Jun 29, 2023",Qatar vs Honduras
16,Haiti,1 Alexandre Pierre,4 Ricardo Adé,6 Garven Metusala,22 Alex Júnior,2 Carlens Arcus,17 Danley Jean Jacques,18 Carl Sainté,14 Fafà Picault,10 Wilde-Donald Guerrier,9 Duckens Nazon,20 Frantzdy Pierrot,8 Leverton Pierre,11 Derrick Etienne Jr.,13 Jairo Jean,7 Carnejy Antoine,16 Mondy Prunier,12 Josué Duverger,23 Garissone Innocent,15 Steven Séance,3 Jeppe Simonsen,19 Steeven Saba,5 Djimy Alexis,21 Bryan Alceus,-,-,-,-,-,-,-,-,Gold Cup 2023,"Jun 29, 2023",Haiti vs Mexico
16,Mexico,13 Guillermo Ochoa,5 Johan Vásquez,4 Edson Álvarez,23 Jesús Gallardo,19 Jorge Sánchez,14 Érick Sánchez,18 Luis Chávez,7 Luis Romo,17 Orbelín Pineda,15 Uriel Antuna,20 Henry Martín,21 Israel Reyes,2 Julián Araujo,8 Carlos Rodríguez,10 Roberto Alvarado,11 Santiago Gimenez,1 Antonio Rodríguez,12 Luis Malagón,22 Víctor Guzmán,16 Diego Lainez,9 Ozziel Herrera,-,-,-,-,-,-,-,-,-,-,Gold Cup 2023,"Jun 29, 2023",Haiti vs Mexico
17,Honduras,1 Edrick Menjívar,4 Marcelo Santos,2 Devron García,19 Omar Elvir,13 Maylor Núñez,14 Jorge Álvarez,20 Deybi Flores,8 Joseph Rosales,17 José Pinto,11 Jerry Bengtson,12 Jorge Benguché,6 Bryan Acosta,5 Cristhian Altamirano,10 Alexander López,-,-,18 Harold Fonseca,22 Luis López,3 Wesly Decas,23 Franklin Flores,21 Alexy Vega,16 Edwin Solano,-,-,-,-,-,-,-,-,-,Gold Cup 2023,"Jul 2, 2023",Honduras vs Haiti
17,Haiti,1 Alexandre Pierre,4 Ricardo Adé,6 Garven Metusala,22 Alex Júnior,2 Carlens Arcus,17 Danley Jean Jacques,18 Carl Sainté,11 Derrick Etienne Jr.,9 Duckens Nazon,7 Carnejy Antoine,20 Frantzdy Pierrot,10 Wilde-Donald Guerrier,21 Bryan Alceus,13 Jairo Jean,14 Fafà Picault,16 Mondy Prunier,12 Josué Duverger,23 Garissone Innocent,15 Steven Séance,3 Jeppe Simonsen,19 Steeven Saba,5 Djimy Alexis,8 Leverton Pierre,-,-,-,-,-,-,-,-,Gold Cup 2023,"Jul 2, 2023",Honduras vs Haiti
18,Mexico,13 Guillermo Ochoa,21 Israel Reyes,4 Edson Álvarez,6 Gerardo Arteaga,2 Julián Araujo,18 Luis Chávez,7 Luis Romo,17 Orbelín Pineda,8 Carlos Rodríguez,9 Ozziel Herrera,11 Santiago Gimenez,14 Érick Sánchez,10 Roberto Alvarado,16 Diego Lainez,15 Uriel Antuna,20 Henry Martín,1 Antonio Rodríguez,12 Luis Malagón,5 Johan Vásquez,22 Víctor Guzmán,23 Jesús Gallardo,-,-,-,-,-,-,-,-,-,-,Gold Cup 2023,"Jul 2, 2023",Mexico vs Qatar
18,Qatar,22 Meshaal Barsham,2 Ahmed Suhail,5 Tarek Salman,14 Homam Al-Amin,13 Musab Khoder,6 Ahmed Fathi,10 Mohammed Waad,16 Mustafa Mashaal,3 Hazem Ahmed,12 Abdullah Maarafiya,17 Tameem Mansour,4 Yousef Aymen,23 Assim Madibo,7 Mahdi Al-Mejaba,8 Ali Asad,-,1 Salah Zakaria,21 Yousef Hassan,20 Jassem Gaber,18 Khalid Muneer,9 Mohammed Muntari,-,-,-,-,-,-,-,-,-,-,Gold Cup 2023,"Jul 2, 2023",Mexico vs Qatar
19,El Salvador,18 Tomás Romero,2 Erick Cabalceta,4 Eriq Zavaleta,15 Álex Roldán,21 Bryan Tamacas,14 Christian Martínez,8 Bryan Landaverde,16 Harold Osorio,13 Leonardo Menjívar,19 Kevin Reyes,9 Brayan Gil,6 Narciso Orellana,17 Jairo Henríquez,10 Mayer Gil,7 Josh Pérez,11 Cristian Gil,1 Mario González,22 Óscar Pleitez,3 Roberto Domínguez,5 Ronald Rodríguez,20 Nelson Flores,12 William Canales,23 Melvin Cartagena,-,-,-,-,-,-,-,-,Gold Cup 2023,"Jun 26, 2023",El Salvador vs Martinique
19,Martinique,16 Yannis Clémentia,22 Florent Poulolo,18 Jonathan Rivierez,21 Florian Lapis,7 Ronny Labonne,14 Cyril Mandouki,19 Daniel Hérelle,15 Patrick Burner,13 Kévin Fortuné,17 Karl Fabien,10 Brighton Labeau,5 Jean-Claude Michalet,8 Andy Marny,6 Jonathan Mexique,11 Thomas Ephestion,12 Enrick Reuperné,23 Emmanuel Vermignon,1 Théo De Percin,4 Davy Singama,2 Yordan Thimon,20 Ghislain Arbaut,3 Evan Salines,9 Stevyn Baker,-,-,-,-,-,-,-,-,Gold Cup 2023,"Jun 26, 2023",El Salvador vs Martinique
20,Costa Rica,18 Kevin Chamorro,3 Juan Pablo Vargas,15 Francisco Calvo,19 Kendall Waston,13 Suhander Zúñiga,22 Jefry Valverde,14 Ricardo Peña,5 Celso Borges,8 Josimar Alcócer,12 Joel Campbell,7 Anthony Contreras,20 Wilmer Azofeifa,11 Aarón Suárez,10 Cristopher Núñez,17 Carlos Mora,16 Warren Madrigal,1 Jussef Delgado,23 Alexandre Lezcano,6 Pablo Arboine,2 Carlos Martínez,4 Keysher Fuller,21 Roan Wilson,9 Diego Campos,-,-,-,-,-,-,-,-,Gold Cup 2023,"Jun 26, 2023",Costa Rica vs Panama
20,Panama,22 Orlando Mosquera,16 Andrés Andrade,3 Hárold Cummings,4 Fidel Escobar,15 Éric Davis,23 Amir Murillo,20 Aníbal Godoy,8 Adalberto Carrasquilla,11 Ismael Díaz,17 José Fajardo,10 Yoel Bárcenas,2 César Blackman,6 Christian Martínez,13 Freddy Góndola,19 Alberto Quintero,18 Cecilio Waterman,1 Luis Mejía,12 César Samudio,5 Roderick Miller,14 Eduardo Anderson,7 Jovani Welch,21 César Yanis,9 Azarias Londoño,-,-,-,-,-,-,-,-,Gold Cup 2023,"Jun 26, 2023",Costa Rica vs Panama
21,Martinique,1 Théo De Percin,5 Jean-Claude Michalet,22 Florent Poulolo,21 Florian Lapis,2 Yordan Thimon,20 Ghislain Arbaut,11 Thomas Ephestion,8 Andy Marny,6 Jonathan Mexique,12 Enrick Reuperné,10 Brighton Labeau,7 Ronny Labonne,15 Patrick Burner,14 Cyril Mandouki,13 Kévin Fortuné,17 Karl Fabien,23 Emmanuel Vermignon,16 Yannis Clémentia,4 Davy Singama,3 Evan Salines,19 Daniel Hérelle,9 Stevyn Baker,-,-,-,-,-,-,-,-,-,Gold Cup 2023,"Jun 30, 2023",Martinique vs Panama
21,Panama,22 Orlando Mosquera,16 Andrés Andrade,3 Hárold Cummings,4 Fidel Escobar,20 Aníbal Godoy,8 Adalberto Carrasquilla,23 Amir Murillo,15 Éric Davis,10 Yoel Bárcenas,19 Alberto Quintero,17 José Fajardo,5 Roderick Miller,7 Jovani Welch,11 Ismael Díaz,21 César Yanis,18 Cecilio Waterman,1 Luis Mejía,12 César Samudio,14 Eduardo Anderson,2 César Blackman,6 Christian Martínez,13 Freddy Góndola,9 Azarias Londoño,-,-,-,-,-,-,-,-,Gold Cup 2023,"Jun 30, 2023",Martinique vs Panama
