,TeamName,Starter_1,Starter_2,Starter_3,Starter_4,Starter_5,Starter_6,Starter_7,Starter_8,Starter_9,Starter_10,Starter_11,Sub_1,Sub_2,Sub_3,Sub_4,Sub_5,Unused_1,Unused_2,Unused_3,Unused_4,Unused_5,Unused_6,Unused_7,Unused_8,Unused_9,Unused_10,Unused_11,Unused_12,Unused_13,Unused_14,Unused_15,Competition,Date,Match
22,Ghana,1 Brimah Razak,18 Daniel Amartey,19 Jonathan Mensah,17 Abdul Rahman Baba,23 Harrison Afful,6 Afriyie Acquah,8 Emmanuel Badu,10 André Ayew,7 Christian Atsu,3 Asamoah Gyan,9 Jordan Ayew,11 Mubarak Wakaso,14 Solomon Asanté,15 Mahatma Otoo,-,-,12 Ernest Sowah,16 Fatawu Dauda,4 Edwin Gyimah,5 Mohamed Awal,21 John Boye,13 Mohammed Rabiu,22 Frank Acheampong,20 David Accam,2 Kwesi Appiah,-,-,-,-,-,-,African Cup of Nations 2015,"Jan 23, 2015",Ghana vs Algeria
22,Algeria,23 Raïs M'Bolhi,2 Madjid Bougherra,12 Carl Medjani,3 Faouzi Ghoulam,20 Aïssa Mandi,8 Mehdi Lacen,14 Nabil Bentaleb,19 Saphir Taïder,11 Yacine Brahimi,10 Sofiane Feghouli,9 Ishak Belfodil,17 Foued Kadir,7 Riyad Mahrez,13 Islam Slimani,-,-,1 Azzedine Doukha,16 Cédric Si Mohammed,4 Liassine Cadamuro,5 Rafik Halliche,6 Djamel Mesbah,22 Mehdi Zeffane,21 Ahmed Kashi,15 El Arbi Hillel Soudani,18 Abdelmoumene Djabou,-,-,-,-,-,-,African Cup of Nations 2015,"Jan 23, 2015",Ghana vs Algeria
23,South Africa,22 Jackson Mabokgwane,3 Eric Mathoho,14 Thulani Hlatshwayo,11 Thabo Matlaba,6 Anele Ngcongca,15 Dean Furman,5 Andile Jali,20 Oupa Manyisa,10 Sibusiso Vilakazi,18 Thuso Phala,23 Tokelo Rantie,21 Ayanda Gcaba,12 Reneilwe Letsholonyane,17 Bernard Parker,-,-,1 Darren Keet,16 Nhlanhla Khuzwayo,4 Siyabonga Nhlapo,13 Thamsanqa Sangweni,8 Bongani Zungu,19 Themba Zwane,7 Mandla Masango,9 Bongani Ndulula,-,-,-,-,-,-,-,African Cup of Nations 2015,"Jan 23, 2015",South Africa vs Senegal
23,Senegal,1 Bouna Coundoul,2 Kara Mbodj,6 Lamine Sané,13 Cheikh M'Bengue,21 Lamine Gassama,4 Alfred N'Diaye,17 Idrissa Gueye,5 Pape Diop,10 Sadio Mané,7 Moussa Sow,9 Mame Diouf,8 Cheikhou Kouyaté,22 Henri Saivet,11 Dame N'Doye,-,-,16 Lys Gomis,23 Papa Demba Camara,3 Papy Djilobodji,14 Zargo Touré,20 Salif Sané,18 Pape Souaré,12 Stéphane Badji,15 Papiss Cissé,19 Moussa Konaté,-,-,-,-,-,-,African Cup of Nations 2015,"Jan 23, 2015",South Africa vs Senegal
24,South Africa,16 Nhlanhla Khuzwayo,3 Eric Mathoho,2 Rivaldo Coetzee,11 Thabo Matlaba,6 Anele Ngcongca,5 Andile Jali,15 Dean Furman,18 Thuso Phala,7 Mandla Masango,9 Bongani Ndulula,23 Tokelo Rantie,12 Reneilwe Letsholonyane,17 Bernard Parker,10 Sibusiso Vilakazi,-,-,1 Darren Keet,22 Jackson Mabokgwane,21 Ayanda Gcaba,4 Siyabonga Nhlapo,13 Thamsanqa Sangweni,8 Bongani Zungu,19 Themba Zwane,-,-,-,-,-,-,-,-,African Cup of Nations 2015,"Jan 27, 2015",South Africa vs Ghana
24,Ghana,1 Brimah Razak,18 Daniel Amartey,19 Jonathan Mensah,17 Abdul Rahman Baba,23 Harrison Afful,6 Afriyie Acquah,11 Mubarak Wakaso,10 André Ayew,7 Christian Atsu,3 Asamoah Gyan,9 Jordan Ayew,21 John Boye,8 Emmanuel Badu,2 Kwesi Appiah,-,-,12 Ernest Sowah,16 Fatawu Dauda,4 Edwin Gyimah,5 Mohamed Awal,13 Mohammed Rabiu,22 Frank Acheampong,14 Solomon Asanté,20 David Accam,15 Mahatma Otoo,-,-,-,-,-,-,African Cup of Nations 2015,"Jan 27, 2015",South Africa vs Ghana
25,Senegal,1 Bouna Coundoul,3 Papy Djilobodji,2 Kara Mbodj,6 Lamine Sané,5 Pape Diop,8 Cheikhou Kouyaté,17 Idrissa Gueye,12 Stéphane Badji,13 Cheikh M'Bengue,10 Sadio Mané,9 Mame Diouf,18 Pape Souaré,11 Dame N'Doye,15 Papiss Cissé,-,-,16 Lys Gomis,23 Papa Demba Camara,14 Zargo Touré,20 Salif Sané,21 Lamine Gassama,4 Alfred N'Diaye,22 Henri Saivet,7 Moussa Sow,19 Moussa Konaté,-,-,-,-,-,-,African Cup of Nations 2015,"Jan 27, 2015",Senegal vs Algeria
25,Algeria,23 Raïs M'Bolhi,2 Madjid Bougherra,12 Carl Medjani,3 Faouzi Ghoulam,20 Aïssa Mandi,19 Saphir Taïder,14 Nabil Bentaleb,7 Riyad Mahrez,10 Sofiane Feghouli,11 Yacine Brahimi,15 El Arbi Hillel Soudani,8 Mehdi Lacen,21 Ahmed Kashi,9 Ishak Belfodil,-,-,1 Azzedine Doukha,16 Cédric Si Mohammed,4 Liassine Cadamuro,5 Rafik Halliche,6 Djamel Mesbah,22 Mehdi Zeffane,17 Foued Kadir,18 Abdelmoumene Djabou,13 Islam Slimani,-,-,-,-,-,-,African Cup of Nations 2015,"Jan 27, 2015",Senegal vs Algeria
26,Ivory Coast,16 Sylvain Gbohouo,4 Kolo Touré,21 Eric Bailly,22 Wilfried Kanon,17 Serge Aurier,9 Cheik Tioté,20 Geoffroy Serey Dié,19 Yaya Touré,10 Gervinho,8 Salomon Kalou,12 Wilfried Bony,5 Siaka Tiéné,6 Cheick Doukouré,7 Seydou Doumbia,-,-,1 Boubacar Copa,23 Mandé Sayouba,2 Ousmane Viera,14 Ismaël Diomandé,13 Jean-Daniel Akpa Akpro,15 Max Gradel,18 Lacina Traoré,11 Junior Tallo,-,-,-,-,-,-,-,African Cup of Nations 2015,"Jan 20, 2015",Ivory Coast vs Guinea
26,Guinea,1 Naby-Moussa Yattara,4 Florentin Pogba,5 Fodé Camara,3 Issiaga Sylla,20 Baissama Sankoh,17 Boubacar Fofana,10 Kévin Constant,15 Naby Keïta,12 Ibrahima Conté,8 Ibrahima Traoré,2 Mohamed Yattara,7 Abdoul Camara,-,-,-,-,16 Abdul Aziz Keita,22 Buba Camara,14 Lanfia Camara,23 Djibril Paye,21 Mohammed Diarra,13 Abdoulaye Cissé,9 Guy-Michel Landel,18 Seydouba Soumah,19 François Kamano,11 Idrissa Sylla,-,-,-,-,-,African Cup of Nations 2015,"Jan 20, 2015",Ivory Coast vs Guinea
