,DF index,Match ID,Competition,Date,Match,Season,Nationality,Country Code,ORIGINAL JERSEY,English Name,Name(s) Found,Market Value New,Status,Status New,Lookup Return Case,Match Case
85,2009,371,"Euros 2016, Qualifiers",03.09.15,Czech vs Kazakhstan,2015,Kazakhstan,KZ,Yuriy Logvinenko,E ,Yuriy Logvinenko,800000,SUCCESS,Done,Found in Curr Season,single
64,593,476,"Euros 2016, Qualifiers",09.10.14,England vs San Marino,2014,San Marino,SM,4. Витайоли Ф.,F Vitaioli,Fabio Vitaioli,0,SUCCESS,Done,Had Both but Both Were Empty,single
156,735,491,"Euros 2016, Qualifiers",05.09.15,Estonia vs Lithuania,2015,Lithuania,LT,7. Чеснаускис Д.,Deividas Cesnauskis,Deividas Cesnauskis,250000,SUCCESS,Done,Found in Curr Season,single
157,739,491,"Euros 2016, Qualifiers",05.09.15,Estonia vs Lithuania,2015,Lithuania,LT,16. Сливка,Vykintas Slivka,Vykintas Slivka,75000,SUCCESS,Done,Found in Curr Season,single
42,921,509,"Euros 2016, Qualifiers",14.10.14,Faroe Islands vs Hungary,2014,Faroe Islands,FO,Jónas Tór Naes,Nes,Jónas Tór Naes,100000,SUCCESS,Done,Found in Curr Season,single
43,941,509,"Euros 2016, Qualifiers",14.10.14,Faroe Islands vs Hungary,2014,Hungary,HU,23. Юхас,Yuhas,Roland Juhász,1200000,SUCCESS,Done,Found in Curr Season,single
48,996,521,"Euros 2016, Qualifiers",04.09.15,Faroe Islands vs Northern Ireland,2015,Faroe Islands,FO,15. Фере,Odmar Færø,Odmar Færø,0,SUCCESS,Done,Found in Curr Season,single
46,987,521,"Euros 2016, Qualifiers",04.09.15,Faroe Islands vs Northern Ireland,2015,Faroe Islands,FO,Jónas Tór Naes,Nes,Jónas Tór Naes,100000,SUCCESS,Done,Found in Curr Season,single
47,991,521,"Euros 2016, Qualifiers",04.09.15,Faroe Islands vs Northern Ireland,2015,Faroe Islands,FO,8. Хенриксен,Henriksen,Brandur Hendriksson,300000,SUCCESS,Done,Found in Curr Season,single
128,1115,530,"Euros 2016, Qualifiers",11.10.15,Faroe Islands vs Romania,2015,Faroe Islands,FO,15. Фере,Odmar Færø,Odmar Færø,0,SUCCESS,Done,Found in Curr Season,single
126,1110,530,"Euros 2016, Qualifiers",11.10.15,Faroe Islands vs Romania,2015,Faroe Islands,FO,Jónas Tór Naes,Nes,Jónas Tór Naes,100000,SUCCESS,Done,Found in Curr Season,single
127,1112,530,"Euros 2016, Qualifiers",11.10.15,Faroe Islands vs Romania,2015,Faroe Islands,FO,8. Хенриксен,Henriksen,Brandur Hendriksson,300000,SUCCESS,Done,Found in Curr Season,single
55,1056,524,"Euros 2016, Qualifiers",07.09.15,Finland vs Faroe Islands,2015,Finland,FI,Jere Uronen,Dropped,Jere Uronen,900000,SUCCESS,Done,Found in Curr Season,single
56,1062,524,"Euros 2016, Qualifiers",07.09.15,Finland vs Faroe Islands,2015,Faroe Islands,FO,Jónas Tór Naes,Nes,Jónas Tór Naes,100000,SUCCESS,Done,Found in Curr Season,single
