,Unnamed: 0.1,Unnamed: 0,Match ID,Competition,Match,Date,Nationality,Team Country Code,Season,Status,Name,Market Value,Lookup Still Required?,Lookup Return Case,Impute Required?,Name(s) Found,ORIGINAL JERSEY,Match Case
425,59287,987,3938,"World Cup 2014, Qualifiers, CONCACAF",Jamaica vs Panama,22-Mar-13,Panama,PA,2013,SUCCESS,"['Rolando Escobar', 'Fidel Escobar']",0.0,False,Large Dataset said 0,False,"['Rolando Escobar', 'Fidel Escobar']",Escobar,multiple
426,59339,1039,3941,"World Cup 2014, Qualifiers, CONCACAF",Panama vs Honduras,26-Mar-13,Panama,PA,2013,SUCCESS,"['Marcos Sánchez', 'Jorlian Sánchez', 'Jean Carlos Sánchez']",0.0,False,Large Dataset said 0,False,"['Marcos Sánchez', 'Jorlian Sánchez', 'Jean Carlos Sánchez']",Sánchez,multiple
427,62700,0,2022,"World Cup Qualifiers, Africa, 2018",Mali vs Morocco,05-09-2017,Mali,ML,2017,SUCCESS,"['Djigui Diarra', 'Drissa Diarra']",0.0,False,Large Dataset said 0,False,"['Djigui Diarra', 'Drissa Diarra']",D Diarra,multiple
428,62854,154,2029,"World Cup Qualifiers, Africa, 2018",Mali vs Gabon,12-11-2016,Mali,ML,2016,SUCCESS,"['Djigui Diarra', 'Drissa Diarra']",0.0,False,Large Dataset said 0,False,"['Djigui Diarra', 'Drissa Diarra']",D Diarra,multiple
429,62876,176,2030,"World Cup Qualifiers, Africa, 2018",Mali vs Cote d'Ivoire,06-10-2017,Mali,ML,2017,SUCCESS,"['Djigui Diarra', 'Drissa Diarra']",0.0,False,Large Dataset said 0,False,"['Djigui Diarra', 'Drissa Diarra']",D Diarra,multiple
430,63015,315,2036,"World Cup Qualifiers, Africa, 2018",Burundi vs Congo DR,12-11-2015,Burundi,BI,2015,SUCCESS,"['Pierre Kwizera', 'Patrick Kwizera']",0.0,False,Large Dataset said 0,False,"['Pierre Kwizera', 'Patrick Kwizera']",P Kwizera,multiple
431,63336,636,2051,"World Cup Qualifiers, Africa, 2022",Mozambique vs Malawi,16-11-2021,Malawi,MW,2021,SUCCESS,"['Peter Banda', 'Patrick Banda']",0.0,False,Large Dataset said 0,False,"['Peter Banda', 'Patrick Banda']",P Banda,multiple
432,63719,1019,2069,"World Cup Qualifiers, Africa, 2022",Chad vs Sudan,05-09-2019,Chad,TD,2019,SUCCESS,"['Azrack Mahamat', 'Ahmat Mahamat']",0.0,False,Large Dataset said 0,False,"['Azrack Mahamat', 'Ahmat Mahamat']",A Mahamat,multiple
433,63730,1030,2069,"World Cup Qualifiers, Africa, 2022",Chad vs Sudan,05-09-2019,Sudan,SD,2019,SUCCESS,"['Ali Abdalla', 'Faris Abdalla', 'Sofian Abdalla']",0.0,False,Large Dataset said 0,False,"['Ali Abdalla', 'Faris Abdalla', 'Sofian Abdalla']",Abu Agla Abdalla,multiple
434,65903,1003,3480,"African Cup of Nations, 2015",Cote d'Ivoire vs Guinea,20-01-2015,Guinea,GN,2015,SUCCESS,"['Fodé Camara', 'Fode Camara']",0.0,False,Large Dataset said 0,False,"['Fodé Camara', 'Fode Camara']",F Camara,multiple
435,68495,295,3096,"World Cup Qualifiers, Europe, 2018",San Marino vs Norway,05-10-2017,San Marino,SM,2017,SUCCESS,"['Manuel Battistini', 'Michael Battistini']",0.0,False,Large Dataset said 0,False,"['Manuel Battistini', 'Michael Battistini']",M Battistini,multiple
436,71537,37,4301,"World Cup 2018, Qualifiers, CONMEBOL",Argentina vs Bolivia,29-Mar-16,Bolivia,BO,2016,SUCCESS,"['Luis Gutiérrez', 'Helmut Gutiérrez', 'Limberg Gutiérrez', 'Jhohan Gutiérrez']",0.0,False,Large Dataset said 0,False,"['Luis Gutiérrez', 'Helmut Gutiérrez', 'Limberg Gutiérrez', 'Jhohan Gutiérrez']",Gutiérrez,multiple
437,71594,94,4304,"World Cup 2018, Qualifiers, CONMEBOL",Bolivia vs Peru,01-Sep-16,Bolivia,BO,2016,SUCCESS,"['Jorge Flores', 'Wálter Flores']",0.0,False,Large Dataset said 0,False,"['Jorge Flores', 'Wálter Flores']",Flores,multiple
438,71715,215,4309,"World Cup 2018, Qualifiers, CONMEBOL",Chile vs Bolivia,06-Sep-16,Bolivia,BO,2016,SUCCESS,"['Jorge Flores', 'Wálter Flores']",0.0,False,Large Dataset said 0,False,"['Jorge Flores', 'Wálter Flores']",Flores,multiple
