,Unnamed: 0,Match ID,Competition,Match,Date,Nationality,Team Country Code,Season,Status,Name,Market Value,Lookup Still Required?,Lookup Return Case,Impute Required?,Name(s) Found,ORIGINAL JERSEY,Match Case,Status II,Status III
58503,203,3903,"World Cup 2014, Qualifiers, CONCACAF",Antigua and Barbuda vs Jamaica,12-Jun-12,Antigua and Barbuda,AG,2012,FAIL,0,0.0,True,Lookup Required,False,0,Mariappa,none,,
58505,205,3903,"World Cup 2014, Qualifiers, CONCACAF",Antigua and Barbuda vs Jamaica,12-Jun-12,Antigua and Barbuda,AG,2012,FAIL,0,0.0,True,Lookup Required,False,0,Austin,none,,
58506,206,3903,"World Cup 2014, Qualifiers, CONCACAF",Antigua and Barbuda vs Jamaica,12-Jun-12,Antigua and Barbuda,AG,2012,FAIL,0,0.0,True,Lookup Required,False,0,Morrison,none,,
58507,207,3903,"World Cup 2014, Qualifiers, CONCACAF",Antigua and Barbuda vs Jamaica,12-Jun-12,Antigua and Barbuda,AG,2012,FAIL,0,0.0,True,Lookup Required,False,0,Watson,none,,
58509,209,3903,"World Cup 2014, Qualifiers, CONCACAF",Antigua and Barbuda vs Jamaica,12-Jun-12,Jamaica,JM,2012,FAIL,0,0.0,True,Lookup Required,False,0,James,none,,
58510,210,3903,"World Cup 2014, Qualifiers, CONCACAF",Antigua and Barbuda vs Jamaica,12-Jun-12,Jamaica,JM,2012,FAIL,0,0.0,True,Lookup Required,False,0,Mc Coy,none,,
58511,211,3903,"World Cup 2014, Qualifiers, CONCACAF",Antigua and Barbuda vs Jamaica,12-Jun-12,Jamaica,JM,2012,FAIL,0,0.0,True,Lookup Required,False,0,Joseph,none,,
58512,212,3903,"World Cup 2014, Qualifiers, CONCACAF",Antigua and Barbuda vs Jamaica,12-Jun-12,Jamaica,JM,2012,FAIL,0,0.0,True,Lookup Required,False,0,Dublin,none,,
58513,213,3903,"World Cup 2014, Qualifiers, CONCACAF",Antigua and Barbuda vs Jamaica,12-Jun-12,Jamaica,JM,2012,FAIL,0,0.0,True,Lookup Required,False,0,Griffith,none,,
58514,214,3903,"World Cup 2014, Qualifiers, CONCACAF",Antigua and Barbuda vs Jamaica,12-Jun-12,Jamaica,JM,2012,FAIL,0,0.0,True,Lookup Required,False,0,Burton,none,,
58515,215,3903,"World Cup 2014, Qualifiers, CONCACAF",Antigua and Barbuda vs Jamaica,12-Jun-12,Jamaica,JM,2012,FAIL,0,0.0,True,Lookup Required,False,0,Leigertwood,none,,
58518,218,3903,"World Cup 2014, Qualifiers, CONCACAF",Antigua and Barbuda vs Jamaica,12-Jun-12,Jamaica,JM,2012,FAIL,0,0.0,True,Lookup Required,False,0,Murtagh,none,,
58519,219,3903,"World Cup 2014, Qualifiers, CONCACAF",Antigua and Barbuda vs Jamaica,12-Jun-12,Jamaica,JM,2012,FAIL,0,0.0,True,Lookup Required,False,0,Byers,none,,
58521,221,3904,"World Cup 2014, Qualifiers, CONCACAF",El Salvador vs Mexico,12-Jun-12,El Salvador,SV,2012,FAIL,0,0.0,True,Lookup Required,False,0,Quintanilla,none,,
58523,223,3904,"World Cup 2014, Qualifiers, CONCACAF",El Salvador vs Mexico,12-Jun-12,El Salvador,SV,2012,FAIL,0,0.0,True,Lookup Required,False,0,Corona,none,,
58524,224,3904,"World Cup 2014, Qualifiers, CONCACAF",El Salvador vs Mexico,12-Jun-12,El Salvador,SV,2012,FAIL,0,0.0,True,Lookup Required,False,0,Meza,none,,
58529,229,3904,"World Cup 2014, Qualifiers, CONCACAF",El Salvador vs Mexico,12-Jun-12,El Salvador,SV,2012,FAIL,0,0.0,True,Lookup Required,False,0,Salcido,none,,
58530,230,3904,"World Cup 2014, Qualifiers, CONCACAF",El Salvador vs Mexico,12-Jun-12,El Salvador,SV,2012,FAIL,0,0.0,True,Lookup Required,False,0,Barrera,none,,
58531,231,3904,"World Cup 2014, Qualifiers, CONCACAF",El Salvador vs Mexico,12-Jun-12,Mexico,MX,2012,FAIL,0,0.0,True,Lookup Required,False,0,Villalobos,none,,
58533,233,3904,"World Cup 2014, Qualifiers, CONCACAF",El Salvador vs Mexico,12-Jun-12,Mexico,MX,2012,FAIL,0,0.0,True,Lookup Required,False,0,Purdy,none,,
58534,234,3904,"World Cup 2014, Qualifiers, CONCACAF",El Salvador vs Mexico,12-Jun-12,Mexico,MX,2012,FAIL,0,0.0,True,Lookup Required,False,0,Turcios,none,,
58535,235,3904,"World Cup 2014, Qualifiers, CONCACAF",El Salvador vs Mexico,12-Jun-12,Mexico,MX,2012,FAIL,0,0.0,True,Lookup Required,False,0,Pacheco,none,,
58537,237,3904,"World Cup 2014, Qualifiers, CONCACAF",El Salvador vs Mexico,12-Jun-12,Mexico,MX,2012,FAIL,0,0.0,True,Lookup Required,False,0,Alas,none,,
58539,239,3904,"World Cup 2014, Qualifiers, CONCACAF",El Salvador vs Mexico,12-Jun-12,Mexico,MX,2012,FAIL,0,0.0,True,Lookup Required,False,0,Alas,none,,
58540,240,3904,"World Cup 2014, Qualifiers, CONCACAF",El Salvador vs Mexico,12-Jun-12,Mexico,MX,2012,FAIL,0,0.0,True,Lookup Required,False,0,Romero,none,,
