,Unnamed: 0.1,Unnamed: 0,DF index,Match ID,Competition,Date,Match,Season,Nationality,Country Code,ORIGINAL JERSEY,English Name,Match(es) Found,Status
1894,1894,50,1650,586,"Euros 2016, Qualifiers",06.09.15,Italy vs Bulgaria,2015,Bulgaria,BG,17. Миланов,Milanov,"['Iliya Milanov', 'Georgi Milanov', 'Zhivko Milanov']",Success
1912,1912,68,1668,588,"Euros 2016, Qualifiers",10.10.15,Norway vs Malta,2015,Malta,MT,8. Бриффа,Briffa,"['Roderick Briffa', 'Emanuel Briffa']",Success
1922,1922,78,1678,590,"Euros 2016, Qualifiers",13.10.15,Bulgaria vs Azerbaijan,2015,Bulgaria,BG,6. Минев,Minev,"['Veselin Minev', 'Yordan Minev']",Success
1937,1937,93,1693,592,"Euros 2016, Qualifiers",13.10.15,Malta vs Croatia,2015,Malta,MT,8. Бриффа,Briffa,"['Roderick Briffa', 'Emanuel Briffa']",Success
1938,1938,94,1694,592,"Euros 2016, Qualifiers",13.10.15,Malta vs Croatia,2015,Malta,MT,3. Зерафа,Zerafa,"['Joseph Zerafa', 'Daniel Zerafa']",Success
1947,1947,3,1703,595,"Euros 2016, Qualifiers",11.10.14,Armenia vs Serbia,2014,Armenia,AM,4. Восканян,Voskanyan,"['Taron Voskanyan', 'Andranik Voskanyan']",Success
1949,1949,5,1705,595,"Euros 2016, Qualifiers",11.10.14,Armenia vs Serbia,2014,Armenia,AM,6. Мкртчян,Mkrtchyan,"['Karlen Mkrtchyan', 'Styopa Mkrtchyan', 'Rudik Mkrtchyan', 'Sergey Mkrtchyan']",Success
1954,1954,10,1710,595,"Euros 2016, Qualifiers",11.10.14,Armenia vs Serbia,2014,Armenia,AM,20. Айрапетян,Hayrapetyan,"['Levon Hayrapetyan', 'Aram Hayrapetyan']",Success
1956,1956,12,1712,595,"Euros 2016, Qualifiers",11.10.14,Armenia vs Serbia,2014,Serbia,RS,1. Стойкович,Stojkovic,"['Vladimir Stojkovic', 'Arandjel Stojkovic']",Success
1958,1958,14,1714,595,"Euros 2016, Qualifiers",11.10.14,Armenia vs Serbia,2014,Serbia,RS,6. Иванович,"['Djordje Ivanovic', 'Branislav Ivanovic']","['Djordje Ivanovic', 'Branislav Ivanovic']",Success
