,Unnamed: 0,Match ID,Competition,Match,Date,Nationality,Team Country Code,Season,Status,Name,Market Value,Lookup Still Required?,Lookup Return Case,Impute Required?,Name(s) Found,ORIGINAL JERSEY,Match Case,Status New
15,186,2122,"World Cup Qualifiers, Africa, 2022",Libya vs Egypt,11-10-2021,Libya,LY,2021,FAIL,"['Mohamed Ayad', 'Mohamed Zaabia', 'Mohammed Al Tuhami']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Mohamed Zaabia,Mohammad Zubya,multiple,Done
16,199,2354,"World Cup Qualifiers, Asia, 2018",South Korea vs Myanmar,12-11-2015,Myanmar,MM,2015,FAIL,"['Thein Naing Oo', 'Thau Htet Paing', 'Than Paing']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Thet Naing,Thet Naing,multiple,Done
17,237,4093,"World Cup 2022, Qualifiers, CONCACAF",Aruba vs Suriname,27-Mar-21,Aruba,AW,2021,FAIL,"['Francois Croes', 'Luis Carlos Croes', 'Liomar Croes', 'Glenbert Croes', 'Ericson Croes']",0,TRUE,Name Confusion,FALSE,"['Francois Croes', 'Ericson Croes']",Croes,multiple,Multi
18,241,2926,"World Cup Qualifiers, Europe, 2014",San Marino vs Ukraine,15-10-2013,San Marino,SM,2013,FAIL,"['Alessandro Della Valle', 'Alex Della Valle']",0,TRUE,Name Confusion,FALSE,"['Alessandro Della Valle', 'Alex Della Valle']",A Della Valle,multiple,Multi
19,253,4103,"World Cup 2022, Qualifiers, CONCACAF",Bermuda vs Aruba,30-Mar-21,Aruba,AW,2021,FAIL,"['Francois Croes', 'Luis Carlos Croes', 'Liomar Croes', 'Glenbert Croes', 'Ericson Croes']",0,TRUE,Name Confusion,FALSE,"['Francois Croes', 'Ericson Croes']",Croes,multiple,Multi
20,254,4103,"World Cup 2022, Qualifiers, CONCACAF",Bermuda vs Aruba,30-Mar-21,Aruba,AW,2021,FAIL,"['Francois Croes', 'Luis Carlos Croes', 'Liomar Croes', 'Glenbert Croes', 'Ericson Croes']",0,TRUE,Name Confusion,FALSE,"['Francois Croes', 'Ericson Croes']",Croes,multiple,Multi
21,261,4105,"World Cup 2022, Qualifiers, CONCACAF",Saint Vincent and the Grenadines vs British Virgin Islands,30-Mar-21,Saint Vincent and the Grenadines,VC,2021,FAIL,"['Marcus Williams', 'Edison Williams', 'Akeem Williams', 'Kurtlon Williams', 'Mekeal Williams']",0,TRUE,Name Confusion,FALSE,"['Akeem Williams', 'Kurtlon Williams']",Williams,multiple,Multi
22,276,4113,"World Cup 2022, Qualifiers, CONCACAF",Antigua and Barbuda vs Grenada,04-Jun-21,Grenada,GD,2021,FAIL,"['Kwasi Paul', 'Kwesi Paul']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Kwasi Paul,Paul,multiple,Done
23,295,4126,"World Cup 2022, Qualifiers, CONCACAF",Guyana vs Puerto Rico,08-Jun-21,Guyana,GY,2021,FAIL,"['Daniel Wilson', 'Marcus Wilson']",0,TRUE,Name Confusion,FALSE,"['Daniel Wilson', 'Marcus Wilson']",Wilson,multiple,Multi
24,300,4129,"World Cup 2022, Qualifiers, CONCACAF",Trinidad and Tobago vs Saint Kitts and Nevis,08-Jun-21,Saint Kitts and Nevis,KN,2021,FAIL,"['Gerard Williams', 'Petrez Williams', 'Tiquanny Williams']",0,TRUE,Name Confusion,FALSE,"['Gerard Williams', 'Tiquanny Williams']",Williams,multiple,Multi
