"interval","sum_rank_prediction_correct","average_rank_prediction_correct","sample_size","seasons"
85,158,0.854054054054054,185,"2021_2022"
87,147,0.859649122807018,171,"2021_2022"
89,142,0.855421686746988,166,"2021_2022"
91,132,0.851612903225806,155,"2021_2022"
93,127,0.863945578231292,147,"2021_2022"
95,119,0.868613138686131,137,"2021_2022"
97,116,0.865671641791045,134,"2021_2022"
99,114,0.883720930232558,129,"2021_2022"
101,110,0.901639344262295,122,"2021_2022"
103,104,0.904347826086957,115,"2021_2022"
105,96,0.905660377358491,106,"2021_2022"
107,91,0.900990099009901,101,"2021_2022"
109,86,0.905263157894737,95,"2021_2022"
111,83,0.912087912087912,91,"2021_2022"
113,78,0.906976744186046,86,"2021_2022"
115,74,0.936708860759494,79,"2021_2022"
117,69,0.932432432432432,74,"2021_2022"
119,67,0.930555555555556,72,"2021_2022"
121,62,0.93939393939394,66,"2021_2022"
123,58,0.935483870967742,62,"2021_2022"
125,54,0.931034482758621,58,"2021_2022"
127,50,0.925925925925926,54,"2021_2022"
129,49,0.924528301886792,53,"2021_2022"
131,46,0.938775510204082,49,"2021_2022"
133,42,0.933333333333333,45,"2021_2022"
135,41,0.953488372093023,43,"2021_2022"
137,37,0.973684210526316,38,"2021_2022"
139,35,0.972222222222222,36,"2021_2022"
141,33,0.970588235294118,34,"2021_2022"
143,31,1,31,"2021_2022"
145,28,1,28,"2021_2022"
147,28,1,28,"2021_2022"
149,28,1,28,"2021_2022"
151,26,1,26,"2021_2022"
153,21,1,21,"2021_2022"
155,19,1,19,"2021_2022"
157,17,1,17,"2021_2022"
159,16,1,16,"2021_2022"
161,15,1,15,"2021_2022"
163,15,1,15,"2021_2022"
165,14,1,14,"2021_2022"
167,11,1,11,"2021_2022"
169,10,1,10,"2021_2022"
171,8,1,8,"2021_2022"
173,8,1,8,"2021_2022"
175,7,1,7,"2021_2022"
177,7,1,7,"2021_2022"
179,6,1,6,"2021_2022"
181,6,1,6,"2021_2022"
183,4,1,4,"2021_2022"
185,4,1,4,"2021_2022"
187,2,1,2,"2021_2022"
189,2,1,2,"2021_2022"
191,2,1,2,"2021_2022"
193,2,1,2,"2021_2022"
195,2,1,2,"2021_2022"
197,2,1,2,"2021_2022"
199,2,1,2,"2021_2022"
201,2,1,2,"2021_2022"
203,2,1,2,"2021_2022"
205,2,1,2,"2021_2022"
207,0,NA,0,"2021_2022"
209,0,NA,0,"2021_2022"
1,321,0.630648330058939,509,"2023_2024"
3,318,0.630952380952381,504,"2023_2024"
5,309,0.626774847870183,493,"2023_2024"
7,303,0.628630705394191,482,"2023_2024"
9,300,0.632911392405063,474,"2023_2024"
11,296,0.63519313304721,466,"2023_2024"
13,292,0.637554585152838,458,"2023_2024"
15,287,0.637777777777778,450,"2023_2024"
17,281,0.644495412844037,436,"2023_2024"
19,277,0.645687645687646,429,"2023_2024"
21,271,0.648325358851675,418,"2023_2024"
23,268,0.652068126520681,411,"2023_2024"
25,260,0.653266331658292,398,"2023_2024"
27,255,0.657216494845361,388,"2023_2024"
29,252,0.663157894736842,380,"2023_2024"
31,250,0.668449197860963,374,"2023_2024"
33,250,0.677506775067751,369,"2023_2024"
35,243,0.684507042253521,355,"2023_2024"
37,233,0.687315634218289,339,"2023_2024"
39,226,0.684848484848485,330,"2023_2024"
41,221,0.697160883280757,317,"2023_2024"
43,214,0.703947368421053,304,"2023_2024"
45,199,0.690972222222222,288,"2023_2024"
47,194,0.705454545454545,275,"2023_2024"
49,192,0.708487084870849,271,"2023_2024"
51,185,0.717054263565892,258,"2023_2024"
53,180,0.728744939271255,247,"2023_2024"
55,178,0.735537190082645,242,"2023_2024"
57,171,0.746724890829694,229,"2023_2024"
59,168,0.753363228699552,223,"2023_2024"
61,161,0.759433962264151,212,"2023_2024"
63,158,0.766990291262136,206,"2023_2024"
65,156,0.764705882352941,204,"2023_2024"
67,152,0.77948717948718,195,"2023_2024"
69,146,0.793478260869565,184,"2023_2024"
71,143,0.798882681564246,179,"2023_2024"
73,138,0.807017543859649,171,"2023_2024"
75,133,0.810975609756098,164,"2023_2024"
77,129,0.816455696202532,158,"2023_2024"
79,125,0.822368421052632,152,"2023_2024"
81,121,0.840277777777778,144,"2023_2024"
83,115,0.845588235294118,136,"2023_2024"
85,110,0.866141732283465,127,"2023_2024"
87,105,0.867768595041322,121,"2023_2024"
89,98,0.859649122807018,114,"2023_2024"
91,94,0.862385321100917,109,"2023_2024"
93,93,0.885714285714286,105,"2023_2024"
95,89,0.881188118811881,101,"2023_2024"
97,85,0.885416666666667,96,"2023_2024"
99,82,0.911111111111111,90,"2023_2024"
101,79,0.918604651162791,86,"2023_2024"
103,76,0.91566265060241,83,"2023_2024"
105,71,0.91025641025641,78,"2023_2024"
107,67,0.905405405405405,74,"2023_2024"
109,62,0.898550724637681,69,"2023_2024"
111,61,0.897058823529412,68,"2023_2024"
113,61,0.91044776119403,67,"2023_2024"
115,59,0.921875,64,"2023_2024"
117,52,0.928571428571429,56,"2023_2024"
119,52,0.928571428571429,56,"2023_2024"
121,51,0.927272727272727,55,"2023_2024"
123,49,0.942307692307692,52,"2023_2024"
125,49,0.942307692307692,52,"2023_2024"
127,48,0.941176470588235,51,"2023_2024"
129,47,0.94,50,"2023_2024"
131,46,0.958333333333333,48,"2023_2024"
133,43,0.955555555555556,45,"2023_2024"
135,41,0.953488372093023,43,"2023_2024"
137,38,0.974358974358974,39,"2023_2024"
139,36,0.972972972972973,37,"2023_2024"
