,Unnamed: 0,Match ID,Competition,Match,Date,Nationality,Team Country Code,Season,Status,Name,Market Value,Lookup Still Required?,Lookup Return Case,Impute Required?,Name(s) Found,ORIGINAL JERSEY,Match Case,Status New
438,1030,1049,"Euros 2024, Qualifiers",Andorra vs Romania,25.03.23,Andorra,AD,2023,FAIL,Luigi San Nicolas,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Luigi San Nicolas,San Nicolas,single,Done
439,1031,1055,"Euros 2024, Qualifiers",Andorra vs Switzerland,16.06.23,Andorra,AD,2023,FAIL,Luigi San Nicolas,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Luigi San Nicolas,San Nicolas,single,Done
440,1032,1057,"Euros 2024, Qualifiers",Israel vs Andorra,19.06.23,Andorra,AD,2023,FAIL,Luigi San Nicolas,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Luigi San Nicolas,San Nicolas,single,Done
441,1036,1625,Nations League 2020-2021,Finland vs Wales,03.09.20,Wales,WA,2020,FAIL,MJ Williams,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Jonny Williams,Jn Williams,single,Done
442,1040,2782,"World Cup Qualifiers, Europe, 2014",Faroe Islands vs Germany,10-09-2013,Faroe Islands,FO,2013,FAIL,Jógvan Davidsen,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Jógvan Davidsen,Jóhan Davidsen,single,Done
443,1043,2787,"World Cup Qualifiers, Europe, 2014",Faroe Islands vs Austria,15-10-2013,Faroe Islands,FO,2013,FAIL,Jógvan Davidsen,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Jógvan Davidsen,Jóhan Davidsen,single,Done
444,1046,2806,"World Cup Qualifiers, Europe, 2014",Cyprus vs Switzerland,23-03-2013,Cyprus,CY,2013,FAIL,Dimitris Theodorou,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Chrysovalantis Theouli,C Theo,single,Done
445,1047,2807,"World Cup Qualifiers, Europe, 2014",Netherlands vs Romania,26-03-2013,Romania,RO,2013,FAIL,Andrei Rațiu,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Răzvan Raț,R Raț,single,Done
446,1049,2809,"World Cup Qualifiers, Europe, 2014",Norway vs Cyprus,06-09-2013,Cyprus,CY,2013,FAIL,Dimitris Theodorou,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Chrysovalantis Theouli,C Theo,single,Done
447,1050,2816,"World Cup Qualifiers, Europe, 2014",Romania vs Estonia,15-10-2013,Romania,RO,2013,FAIL,Andrei Rațiu,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Răzvan Raț,R Raț,single,Done
448,1051,2817,"World Cup Qualifiers, Europe, 2014",Switzerland vs Cyprus,08-06-2013,Cyprus,CY,2013,FAIL,Dimitris Theodorou,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Chrysovalantis Theouli,C Theo,single,Done
449,1052,2818,"World Cup Qualifiers, Europe, 2014",Kazakhstan vs Faroe Islands,06-09-2013,Faroe Islands,FO,2013,FAIL,Jógvan Davidsen,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Jógvan Davidsen,Jóhan Davidsen,single,Done
450,1054,2824,"World Cup Qualifiers, Europe, 2014",Romania vs Turkey,10-09-2013,Romania,RO,2013,FAIL,Andrei Rațiu,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Răzvan Raț,R Raț,single,Done
451,1055,2829,"World Cup Qualifiers, Europe, 2014",Hungary vs Romania,22-03-2013,Romania,RO,2013,FAIL,Andrei Radu,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Andrei Radu,Radu,single,Done
452,1065,4333,"World Cup 2018, Qualifiers, CONMEBOL",Colombia vs Bolivia,23-Mar-17,Bolivia,BO,2017,FAIL,Héctor Cuellar,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Héctor Cuellar,Cuellar,single,Done
453,1066,4333,"World Cup 2018, Qualifiers, CONMEBOL",Colombia vs Bolivia,23-Mar-17,Bolivia,BO,2017,FAIL,Cristhian Coimbra,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Cristhian Coimbra,Coimbra,single,Done
454,1067,4333,"World Cup 2018, Qualifiers, CONMEBOL",Colombia vs Bolivia,23-Mar-17,Bolivia,BO,2017,FAIL,Alejandro Meleán,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Alejandro Meleán,Meleán,single,Done
455,1068,4335,"World Cup 2018, Qualifiers, CONMEBOL",Paraguay vs Ecuador,23-Mar-17,Paraguay,PY,2017,FAIL,Darío Lezcano,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Darío Lezcano,Lezcano,single,Done
456,1071,4339,"World Cup 2018, Qualifiers, CONMEBOL",Bolivia vs Argentina,28-Mar-17,Bolivia,BO,2017,FAIL,Edward Zenteno,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Edward Zenteno,Zenteno,single,Done
457,1072,4339,"World Cup 2018, Qualifiers, CONMEBOL",Bolivia vs Argentina,28-Mar-17,Bolivia,BO,2017,FAIL,Pablo Escobar,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Pablo Escobar,Escobar,single,Done
458,1074,4339,"World Cup 2018, Qualifiers, CONMEBOL",Bolivia vs Argentina,28-Mar-17,Argentina,AR,2017,FAIL,Lucas Pratto,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Lucas Pratto,Pratto,single,Done
459,1076,4341,"World Cup 2018, Qualifiers, CONMEBOL",Peru vs Uruguay,28-Mar-17,Uruguay,UY,2017,FAIL,Jorge Fucile,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Jorge Fucile,Fucile,single,Done
460,1077,4343,"World Cup 2018, Qualifiers, CONMEBOL",Venezuela vs Colombia,31-Aug-17,Venezuela,VE,2017,FAIL,Andrés Sánchez,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Andrés Sánchez,Sánchez,single,Done
461,1078,4344,"World Cup 2018, Qualifiers, CONMEBOL",Chile vs Paraguay,31-Aug-17,Chile,CL,2017,FAIL,Jorge Valdivia,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Jorge Valdivia,Valdivia,single,Done
462,1080,4346,"World Cup 2018, Qualifiers, CONMEBOL",Peru vs Bolivia,31-Aug-17,Bolivia,BO,2017,FAIL,Edward Zenteno,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Edward Zenteno,Zenteno,single,Done
463,1083,4349,"World Cup 2018, Qualifiers, CONMEBOL",Bolivia vs Chile,05-Sep-17,Chile,CH,2017,FAIL,Paulo Díaz,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Marcelo Díaz,Díaz,single,Done
464,1084,4349,"World Cup 2018, Qualifiers, CONMEBOL",Bolivia vs Chile,05-Sep-17,Chile,CH,2017,FAIL,Marcelo Díaz,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Marcelo Díaz,Díaz,single,Done
465,1085,719,"Euros 2020, Qualifiers",Slovakia vs Wales,10.10.19,Wales,WA,2019,FAIL,MJ Williams,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Jonny Williams,Jn Williams,single,Done
466,1086,1779,Nations League 2022-2023,Albania vs Iceland,27.09.22,Iceland,IS,2022,FAIL,Emil Pálsson,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Emil Pálsson,Palsson,single,Done
467,1093,1804,Nations League 2022-2023,Lithuania vs Luxembourg,04.06.22,Lithuania,LT,2022,FAIL,Arunas Klimavicius,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Arunas Klimavicius,A Klimavičius,single,Done
468,1094,1808,Nations League 2022-2023,Faroe Islands vs Lithuania,11.06.22,Lithuania,LT,2022,FAIL,Arunas Klimavicius,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Arunas Klimavicius,A Klimavičius,single,Done
469,1100,2640,"World Cup Qualifiers, Asia, 2022",Bangladesh vs Oman,15-06-2021,Bangladesh,BD,2021,FAIL,Mamun Miah,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Mamun Miah,M Miah,single,Done
470,1107,2646,"World Cup Qualifiers, Asia, 2022",Syria vs United Arab Emirates,7-9-2021,Syria,SY,2021,FAIL,Zaher Midani,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Zaher Midani,Zahir Al Midani,single,Done
471,1108,2646,"World Cup Qualifiers, Asia, 2022",Syria vs United Arab Emirates,7-9-2021,United Arab Emirates,AE,2021,FAIL,Mahmoud Khamisi,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Mahmoud Khamisi,Mahmoud Khamis,single,Done
