,index,Match ID,Competition,Match,Date,Nationality,Team Country Code,Season,Status,Name,Market Value,Lookup Still Required?,Lookup Return Case,Impute Required?,Name(s) Found,ORIGINAL JERSEY,Match Case,Status New,Market Value New
10470,73164,3632,"African Cup of Nations, 2021",Senegal vs Egypt,06-02-2022,Senegal,SN,2022,SUCCESS,Saliou Ciss,520000,False,Only Before,False,Saliou Ciss,S Ciss,single,,0
10471,73165,3633,"African Cup of Nations, 2021",Senegal vs Cape Verde,25-01-2022,Senegal,SN,2022,SUCCESS,Saliou Ciss,520000,False,Only Before,False,Saliou Ciss,S Ciss,single,,0
10472,73166,3636,"African Cup of Nations, 2021",Gabon vs Ghana,14-01-2022,Ghana,GH,2022,SUCCESS,Andy Yiadom,3000000,False,Only Before,False,Andy Yiadom,A Yiadom,single,,0
10473,73167,2039,"World Cup Qualifiers, Africa, 2018",Chad vs Sierra Leone,10-10-2015,Sierra Leone,SL,2015,SUCCESS,Al Bangura,0,False,Only After + Zero After,True,Abu Abedi Kanu X,A Kanu,single,,0
10474,73168,2055,"World Cup Qualifiers, Africa, 2022",Guinea-Bissau vs Guinea,01-09-2021,Guinea,GN,2021,SUCCESS,Abdoulaye Cissé,0,False,Only Before + Zero Before,True,Abdoulaye Cissé,A Cissé,single,,0
10475,73169,2057,"World Cup Qualifiers, Africa, 2022",Sudan vs Guinea,06-10-2021,Guinea,GN,2021,SUCCESS,Abdoulaye Cissé,0,False,Only Before + Zero Before,True,Abdoulaye Cissé,A Cissé,single,,0
10476,73170,2060,"World Cup Qualifiers, Africa, 2022",Algeria vs Niger,08-10-2021,Niger,NE,2021,SUCCESS,Hervé Lybohy,120000,False,Only Before,False,Hervé Lybohy,H Lybohy,single,,0
10477,73171,2061,"World Cup Qualifiers, Africa, 2022",Djibouti vs Niger,06-09-2021,Niger,NE,2021,SUCCESS,Hervé Lybohy,120000,False,Only Before,False,Hervé Lybohy,H Lybohy,single,,0
10478,73172,2070,"World Cup Qualifiers, Africa, 2022",Tunisia vs Equatorial Guinea,03-09-2021,Tunisia,TN,2021,SUCCESS,Fakhreddine Ben Youssef,960000,False,Only Before,False,Fakhreddine Ben Youssef,F Ben Youssef,single,,0
10479,73173,3337,"World Cup Qualifiers, Europe, 2022",Poland vs San Marino,09-10-2021,San Marino,SM,2021,SUCCESS,Davide Simoncini,20000,False,Only Before,False,Davide Simoncini,D Simoncini,single,,0
10480,73174,3375,"World Cup Qualifiers, Europe, 2022",Liechtenstein vs Iceland,31-03-2021,Liechtenstein,LI,2021,SUCCESS,"['Martin Büchel', 'Marcel Büchel']",0,False,Only Before + Zero Before,True,Martin Büchel,M Büchel,multiple,,0
10481,73175,3441,"World Cup Qualifiers, Europe, 2022",Serbia vs Republic of Ireland,24-03-2021,Serbia,RS,2021,SUCCESS,"['Milan Gajic', 'Marko Gajic']",4200000,False,Only Before,False,Milan Gajic,M Gajić,multiple,,0
10482,73178,1024,"Euros 2024, Qualifiers",Denmark vs Northern Ireland,16.06.23,Northern Ireland,NI,2023,SUCCESS,"['Caolan Lavery', 'Shayne Lavery']",0,False,"Did Not Find in Curr Season, One Up, or One Down",True,Shayne Lavery,Lavery,multiple,,0
10483,73179,1026,"Euros 2024, Qualifiers",Finland vs San Marino,19.06.23,Finland,FI,2023,SUCCESS,Diogo Tomas,720000,False,Only Before,False,Diogo Tomas,Di Tomas,single,,0
