,Match ID,Competition,Match,Date,Nationality,Team Country Code,Season,Status,Name,Market Value,Lookup Still Required?,Lookup Return Case,Impute Required?,Name(s) Found,ORIGINAL JERSEY,Match Case,Status New,Market Value New
0,2231,"World Cup Qualifiers, Africa, 2026",Mozambique vs Algeria,19-11-2023,Algeria,DZ,2023,FAIL,0,0.0,True,Online Lookup Required,False,0,A Gouiri,none,,0
1,2234,"World Cup Qualifiers, Africa, 2026",Zimbabwe vs Nigeria,19-11-2023,Nigeria,NG,2023,FAIL,0,0.0,True,Online Lookup Required,False,0,N Tella,none,,0
2,3647,"Gold Cup, 2013",Martinique vs Mexico,14-07-2013,Martinique,MQ,2013,FAIL,0,0.0,True,Online Lookup Required,False,0,K Olimpa,none,,0
3,3647,"Gold Cup, 2013",Martinique vs Mexico,14-07-2013,Martinique,MQ,2013,FAIL,0,0.0,True,Online Lookup Required,False,0,G Arnolin,none,,0
4,3647,"Gold Cup, 2013",Martinique vs Mexico,14-07-2013,Martinique,MQ,2013,FAIL,0,0.0,True,Online Lookup Required,False,0,J Babin,none,,0
5,3648,"Gold Cup, 2013",Canada vs Martinique,07-07-2013,Martinique,MQ,2013,FAIL,0,0.0,True,Online Lookup Required,False,0,K Olimpa,none,,0
6,3648,"Gold Cup, 2013",Canada vs Martinique,07-07-2013,Martinique,MQ,2013,FAIL,0,0.0,True,Online Lookup Required,False,0,G Arnolin,none,,0
7,3648,"Gold Cup, 2013",Canada vs Martinique,07-07-2013,Martinique,MQ,2013,FAIL,0,0.0,True,Online Lookup Required,False,0,J Babin,none,,0
8,3663,"Gold Cup, 2013",Panama vs Martinique,12-07-2013,Martinique,MQ,2013,FAIL,0,0.0,True,Online Lookup Required,False,0,K Olimpa,none,,0
9,3663,"Gold Cup, 2013",Panama vs Martinique,12-07-2013,Martinique,MQ,2013,FAIL,0,0.0,True,Online Lookup Required,False,0,G Arnolin,none,,0
10,3663,"Gold Cup, 2013",Panama vs Martinique,12-07-2013,Martinique,MQ,2013,FAIL,0,0.0,True,Online Lookup Required,False,0,J Babin,none,,0
