,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Match ID,Competition,Match,Date,Nationality,Team Country Code,Season,Status,Name,Market Value,Lookup Still Required?,Lookup Return Case,Impute Required?,Name(s) Found,ORIGINAL JERSEY,Match Case,Status New
27,27,3808,508,4018,"World Cup 2018, Qualifiers, CONCACAF",Haiti vs Jamaica,17-Nov-15,Haiti,HT,2015,SUCCESS,"['Mechack Jérôme', 'Alan Jérôme']",0.0,False,Large Dataset said 0,False,Mechack Jérôme,Jérôme,multiple,Done
28,28,3850,550,4020,"World Cup 2018, Qualifiers, CONCACAF",El Salvador vs Canada,17-Nov-15,El Salvador,SV,2015,SUCCESS,"['Henry Hernández', 'Andrés Hernández']",0.0,False,Large Dataset said 0,False,Henry Hernández,Hernandez,multiple,Done
29,29,3854,554,4020,"World Cup 2018, Qualifiers, CONCACAF",El Salvador vs Canada,17-Nov-15,El Salvador,SV,2015,SUCCESS,"['Juan Barahona', 'Iván Barahona']",0.0,False,Large Dataset said 0,False,Juan Barahona,Barahona,multiple,Done
30,30,3856,556,4020,"World Cup 2018, Qualifiers, CONCACAF",El Salvador vs Canada,17-Nov-15,El Salvador,SV,2015,SUCCESS,"['Henry Romero', 'Tomás Romero']",0.0,False,Large Dataset said 0,False,Henry Romero,Romero,multiple,Done
31,31,3881,581,4021,"World Cup 2018, Qualifiers, CONCACAF",Panama vs Costa Rica,17-Nov-15,Panama,PA,2015,SUCCESS,"['Alberto Quintero', 'Cristian Quintero']",0.0,False,Large Dataset said 0,False,Alberto Quintero,Quintero,multiple,Done
32,32,3895,595,4022,"World Cup 2018, Qualifiers, CONCACAF",Saint Vincent and the Grenadines vs Trinidad and Tobago,25-Mar-16,Saint Vincent and the Grenadines,VC,2016,SUCCESS,"['Marcus Williams', 'Edison Williams', 'Akeem Williams', 'Kurtlon Williams', 'Mekeal Williams']",0.0,False,Large Dataset said 0,False,Akeem Williams,Williams,multiple,Done
33,33,3903,603,4022,"World Cup 2018, Qualifiers, CONCACAF",Saint Vincent and the Grenadines vs Trinidad and Tobago,25-Mar-16,Saint Vincent and the Grenadines,VC,2016,SUCCESS,"['Emerald George', 'Norrel George']",0.0,False,Large Dataset said 0,False,Emerald George,George,multiple,Done
34,34,3980,680,4026,"World Cup 2018, Qualifiers, CONCACAF",Haiti vs Panama,25-Mar-16,Panama,PA,2016,SUCCESS,"['Alberto Quintero', 'Cristian Quintero']",0.0,False,Large Dataset said 0,False,Alberto Quintero,Quintero,multiple,Done
35,35,3988,688,4027,"World Cup 2018, Qualifiers, CONCACAF",Guatemala vs USA,25-Mar-16,Guatemala,GT,2016,SUCCESS,"['José Márquez', 'Jean Márquez']",0.0,False,Large Dataset said 0,False,Jean Márquez,Marquez,multiple,Done
36,36,4016,716,4028,"World Cup 2018, Qualifiers, CONCACAF",Trinidad and Tobago vs Saint Vincent and the Grenadines,29-Mar-16,Saint Vincent and the Grenadines,VC,2016,SUCCESS,"['Marcus Williams', 'Edison Williams', 'Akeem Williams', 'Kurtlon Williams', 'Mekeal Williams']",0.0,False,Large Dataset said 0,False,Akeem Williams,Williams,multiple,Done
37,37,4019,719,4028,"World Cup 2018, Qualifiers, CONCACAF",Trinidad and Tobago vs Saint Vincent and the Grenadines,29-Mar-16,Saint Vincent and the Grenadines,VC,2016,SUCCESS,"['Roy Richards', 'Brad Richards']",0.0,False,Large Dataset said 0,False,Roy Richards,Richards,multiple,Done
38,38,4022,722,4028,"World Cup 2018, Qualifiers, CONCACAF",Trinidad and Tobago vs Saint Vincent and the Grenadines,29-Mar-16,Saint Vincent and the Grenadines,VC,2016,SUCCESS,"['Emerald George', 'Norrel George']",0.0,False,Large Dataset said 0,False,Emerald George,George,multiple,Done
39,39,4040,740,4029,"World Cup 2018, Qualifiers, CONCACAF",Honduras vs El Salvador,29-Mar-16,El Salvador,SV,2016,SUCCESS,"['Henry Romero', 'Tomás Romero']",0.0,False,Large Dataset said 0,False,Henry Romero,Romero,multiple,Done
40,40,4068,768,4030,"World Cup 2018, Qualifiers, CONCACAF",USA vs Guatemala,29-Mar-16,Guatemala,GT,2016,SUCCESS,"['José Márquez', 'Jean Márquez']",0.0,False,Large Dataset said 0,False,Jean Márquez,Marquez,multiple,Done
41,41,4122,822,4033,"World Cup 2018, Qualifiers, CONCACAF",Panama vs Haiti,29-Mar-16,Panama,PA,2016,SUCCESS,"['Alberto Quintero', 'Cristian Quintero']",0.0,False,Large Dataset said 0,False,Alberto Quintero,Quintero,multiple,Done
42,42,4141,841,4034,"World Cup 2018, Qualifiers, CONCACAF",Honduras vs Canada,02-Sep-16,Honduras,HN,2016,SUCCESS,"['Bryan Acosta', 'Danilo Acosta']",0.0,False,Large Dataset said 0,False,Bryan Acosta,Acosta,multiple,Done
43,43,4159,859,4035,"World Cup 2018, Qualifiers, CONCACAF",Saint Vincent and the Grenadines vs USA,02-Sep-16,Saint Vincent and the Grenadines,VC,2016,SUCCESS,"['Andrew Durham', 'Keshorn Durham']",0.0,False,Large Dataset said 0,False,Andrew Durham,Durham,multiple,Done
44,44,4161,861,4035,"World Cup 2018, Qualifiers, CONCACAF",Saint Vincent and the Grenadines vs USA,02-Sep-16,Saint Vincent and the Grenadines,VC,2016,SUCCESS,"['Roy Richards', 'Brad Richards']",0.0,False,Large Dataset said 0,False,Roy Richards,Richards,multiple,Done
45,45,4166,866,4035,"World Cup 2018, Qualifiers, CONCACAF",Saint Vincent and the Grenadines vs USA,02-Sep-16,Saint Vincent and the Grenadines,VC,2016,SUCCESS,"['Emerald George', 'Norrel George']",0.0,False,Large Dataset said 0,False,Emerald George,George,multiple,Done
46,46,4216,916,4037,"World Cup 2018, Qualifiers, CONCACAF",Trinidad and Tobago vs Guatemala,02-Sep-16,Guatemala,GT,2016,SUCCESS,"['Jonathan López', 'Minor López', 'Dennis López', 'Osmar López', 'Hamilton López', 'Fredy López', 'Henry López', 'Manuel López', 'Prins López', 'Antonio López']",0.0,False,Large Dataset said 0,False,Hamilton López,López,multiple,Done
47,47,4220,920,4037,"World Cup 2018, Qualifiers, CONCACAF",Trinidad and Tobago vs Guatemala,02-Sep-16,Guatemala,GT,2016,SUCCESS,"['José Márquez', 'Jean Márquez']",0.0,False,Large Dataset said 0,False,Jean Márquez,Marquez,multiple,Done
48,48,4227,927,4038,"World Cup 2018, Qualifiers, CONCACAF",El Salvador vs Mexico,02-Sep-16,El Salvador,SV,2016,SUCCESS,"['Xavier García', 'Francisco García', 'Víctor García']",0.0,False,Large Dataset said 0,False,Xavier García,García,multiple,Done
49,49,4229,929,4038,"World Cup 2018, Qualifiers, CONCACAF",El Salvador vs Mexico,02-Sep-16,El Salvador,SV,2016,SUCCESS,"['Richard Menjívar', 'Óscar Menjívar', 'Kevin Menjívar', 'Leonardo Menjívar']",0.0,False,Large Dataset said 0,False,Richard Menjívar,Menjívar,multiple,Done
50,50,4251,951,4039,"World Cup 2018, Qualifiers, CONCACAF",Panama vs Jamaica,02-Sep-16,Panama,PA,2016,SUCCESS,"['Alberto Quintero', 'Cristian Quintero']",0.0,False,Large Dataset said 0,False,Alberto Quintero,Quintero,multiple,Done
51,51,4274,974,4040,"World Cup 2018, Qualifiers, CONCACAF",Guatemala vs Saint Vincent and the Grenadines,06-Sep-16,Guatemala,GT,2016,SUCCESS,"['José Márquez', 'Jean Márquez']",0.0,False,Large Dataset said 0,False,Jean Márquez,Marquez,multiple,Done
52,52,4280,980,4040,"World Cup 2018, Qualifiers, CONCACAF",Guatemala vs Saint Vincent and the Grenadines,06-Sep-16,Saint Vincent and the Grenadines,VC,2016,SUCCESS,"['Kevin Francis', 'Damal Francis', 'Gidson Francis']",0.0,False,Large Dataset said 0,False,Kevin Francis,Francis,multiple,Done
53,53,4281,981,4040,"World Cup 2018, Qualifiers, CONCACAF",Guatemala vs Saint Vincent and the Grenadines,06-Sep-16,Saint Vincent and the Grenadines,VC,2016,SUCCESS,"['Andrew Durham', 'Keshorn Durham']",0.0,False,Large Dataset said 0,False,Andrew Durham,Durham,multiple,Done
54,54,4289,989,4040,"World Cup 2018, Qualifiers, CONCACAF",Guatemala vs Saint Vincent and the Grenadines,06-Sep-16,Saint Vincent and the Grenadines,VC,2016,SUCCESS,"['Keith James', 'Gavin James', 'Ramesh James']",0.0,False,Large Dataset said 0,False,Gavin James,James,multiple,Done
55,55,4304,1004,4041,"World Cup 2018, Qualifiers, CONCACAF",Canada vs El Salvador,06-Sep-16,El Salvador,SV,2016,SUCCESS,"['Henry Romero', 'Tomás Romero']",0.0,False,Large Dataset said 0,False,Henry Romero,Romero,multiple,Done
56,56,4308,1008,4041,"World Cup 2018, Qualifiers, CONCACAF",Canada vs El Salvador,06-Sep-16,El Salvador,SV,2016,SUCCESS,"['Darwin Cerén', 'Óscar Cerén']",0.0,False,Large Dataset said 0,False,Darwin Cerén,Cerén,multiple,Done
57,57,4323,1023,4042,"World Cup 2018, Qualifiers, CONCACAF",Costa Rica vs Panama,06-Sep-16,Panama,PA,2016,SUCCESS,"['José Calderón', 'Kevin Calderón']",0.0,False,Large Dataset said 0,False,José Calderón,Calderon,multiple,Done
58,58,4733,333,2239,"World Cup Qualifiers, Africa, 2026",Eswatini vs Cape Verde,21-11-2023,Eswatini,SZ,2023,SUCCESS,"['Sandile Ginindza', 'Samkelo Ginindza']",0.0,False,Large Dataset said 0,False,Samkelo Ginindza,S Ginindza,multiple,Done
59,59,4740,340,2239,"World Cup Qualifiers, Africa, 2026",Eswatini vs Cape Verde,21-11-2023,Eswatini,SZ,2023,SUCCESS,"['Mxolisi Mkhonto', 'Mthunzi Mkhontfo', 'Lindo Mkhonta']",0.0,False,Large Dataset said 0,False,Philani Thabo Mkhontfo,P Mkhonto,multiple,Done
60,60,4801,401,2242,"World Cup Qualifiers, Africa, 2026",Sudan vs Togo,16-11-2023,Sudan,SD,2023,SUCCESS,"['Ahmed Al Basha', 'Ahmed Hamed Mahmoud', 'Ahmed Wadah']",0.0,False,Large Dataset said 0,False,Ahmed Hamed Mahmoud,Ahmed Hamid Al Tash,multiple,Done
61,61,5008,608,2251,"World Cup Qualifiers, Africa, 2026",Gabon vs Kenya,16-11-2023,Kenya,KE,2023,SUCCESS,"['Abdulatif Omar', 'Abud Omar', 'Adisa Omar']",0.0,False,Large Dataset said 0,False,Abud Omar,A Omar,multiple,Done
62,62,5048,648,2254,"World Cup Qualifiers, Asia, 2014",Jordan vs Uzbekistan,06-09-2013,Jordan,JO,2013,SUCCESS,"['Ahmad Hayel', 'Ahmad Abdel-Halim']",0.0,False,Large Dataset said 0,False,Ahmad Hayel,Ahmad Hayel Ibrahim,multiple,Done
63,63,5157,757,2259,"World Cup Qualifiers, Asia, 2014",Jordan vs Oman,18-06-2013,Jordan,JO,2013,SUCCESS,"['Ahmad Hayel', 'Ahmad Abdel-Halim']",0.0,False,Large Dataset said 0,False,Ahmad Hayel,Ahmad Hayel Ibrahim,multiple,Done
64,64,5213,813,2261,"World Cup Qualifiers, Asia, 2014",Uzbekistan vs Jordan,10-09-2013,Jordan,JO,2013,SUCCESS,"['Ahmad Hayel', 'Ahmad Abdel-Halim']",0.0,False,Large Dataset said 0,False,Ahmad Hayel,Ahmad Hayel Ibrahim,multiple,Done
65,65,5314,914,2267,"World Cup Qualifiers, Asia, 2018",Chinese Taipei vs Vietnam,08-09-2015,Vietnam,VN,2015,SUCCESS,"['Nguyen Manh Tran', 'Tien Thanh Dinh', 'Xuan Thanh Nguyen']",0.0,False,Large Dataset said 0,False,"['Nguyen Manh Tran', 'Tien Thanh Dinh', 'Xuan Thanh Nguyen']",Nguyn Thanh Hin,multiple,Multi
